German	utf-8
TEST_SEND_HEADER	Test send your message
TEST_SEND_BUTTON	Send your message
TEST_SEND_FORMAT	Message format
TEST_SEND_RCPT	Recipient address
MESSAGE_WAS_SENT	Thank you!<BR>Your message was sent to 
CLOSE_WINDOW	Close this window
ENABLE_HTML_CHOISE	Add selection box to select the message format
ENABLE_HTML_CHOISE_DISCR	Check this option to add a selection box to the HTML form to select the message format (Text or HTML)
HTML_FORM_MESSFORMAT	Message format
DATE_FORMAT_SETTINGS	Date format settings
DATE_FORMAT_LINE	Your <i>strftime</i> format line
DATE_FORMAT_DISCR	Set the format for <B>[DATE]</B> tags in your messages.<BR>The default format is:  <B>%m/%d/%Y</B> <BR><a href="http://se.php.net/manual/sv/function.strftime.php" target="_blank">More info about the format...</a>
CURRENT_FORMATTED_DATE	Current formatted date
USR_BROWSER_HEAD_FORMAT	Format
USR_BROWSER_DEFAULT_FORMAT	Default
USR_BROWSER_HTML_USER_FORMAT	HTML
USR_BROWSER_TEXT_USER_FORMAT	Text
PERSONAL_REG_DATE	will print subscriber registration date
PERSONAL_SUBSCRIBER_ID	Subscriber ID
PERSONAL_SUBSCRIBER_ID_DISCR	Subscriber ID (Primary key can be used to integrate FUMP with other applications)
PERSONAL_MODIFY_CONTACT_INFO	Link to script where subscriber can modify name, email address and message format
PERSONAL_SUBSCRIBER_UUI	Subscriber UUI
PERSONAL_SUBSCRIBER_UUI_DISCR	Subscriber UUI (Unique User Identifier can be used to integrate FUMP with others applications)
PERSONAL_REG_DATE_CORRECTED	will print the corrected subscriber registration date.
ADD_UNSUBSCRIBE_LINK	Automatically add an unsubscribe link to the email footer
RSSMESS_DISCR	Hint: Use a short, one paragraph, message as RSS-feed text. The RSS-feed will redirect your prospect to the message online.
DUBLICATES	Duplicate message checking
USE_MES_LOG_NEW	Do not send duplicate messages to subscribers:
THANK_YOU_PAGE_SETTINGS	Thank you page settings:
OR	Or
GENARATE_PERSONALIZED_PAGE	Generate personalized page from template
DOI_PAGE_SETTINGS	Subscribers double opt-in confirmation settings:
UNSUBSCRIBE_PAGE_SETTINGS	Unsubscribing settings
NOTIFICATION_HEADER	Admin notification settings
#End Version 4.21
ACCOUNT_BIG	ACCOUNT
TOTAL_PROSPECTS	Total User:
ACTIVE	Aktive
INACTIVE	Inaktive:
HTML_CODE_FORM	HTML-Code für ihr Formular:
FORM_PREVIEW	Formular Vorschau:
CUSTOM_FIELD	Benutzerfeld
CUSTOM_FIELD_NAME	Benutzerfeld-Name:
ONLY_CHARS	3..20 Zeichen nur [A-Za-z0-9_]
IS_REQUIRED	Pflichtfeld?
FIELD_FORMAT	Feldformat:
ADD_FIELD	Feld einfügen
CANCEL	Zurücksetzen
ACC_SETTINGS	Account Einstellungen
PERSONAL	Personal:
FROM_NAME	Absender Name:
FROM_EMAIL	Absender Email:
DEF_SUBSCRIB_NAME	Standard Username (Recipient) :
REPLY_HEADER	Reply-to header:
SUBSCRIB_OPTS	Optionen für User-Eintrag:
REDIR_SUSCR_TO	Weiterleitung nach Eintrag:
REDIR_REMOV_TO	Weiterleitung nach Austrag:
NOTIFY_ME_SUSCR	Emailnachricht bei Eintrag?
NOTIFY_ME_UNSUB	Emailnachricht bei Austrag?
ACC_ADMIN_NAME	Account Administrator-Name:
ACC_ADMIN_MAIL	Account Administrator-Email:
USE_DOI	Benutze double opt-in?
DOICONFURL	Double opt-in Konfirmationsseite:
LOGGING	Protokoll:
USE_MES_LOG	Protokollierung (Logging) verwenden (Überprüfung auf Duplikate von Emailadressen)
LOCALIZ	Lokalisation:
NO_UPPERCASE	Do not uppercase first letter of prospects names:
DEF_CHARSET	Standard-Zeichensatz:
SAV_ALL_SET	Alle Einstellungen speichern
POP_SET	POP3 Einstellung
IS_POP	Direkteintrag ohne Bestätigung:
SUBSCR_EMAIL	Subscribe email:
POP_SERVER2	POP3-Server:
POP_USER2	POP3-Username:
POP_PASS	POP3-Passwort:
POP_PORT	POP3-Server-Port:
BAN_MAILS	Sperrliste für Emails
BAN_LIST	Sperrliste (1 Eintrag pro Zeile):
CUST_ERR_MSG	Fehlermeldung an Absender/Grund für Eintrag:
SORTFILTER	Sortieren / Filter nach:
SORTFILTER_SEARCH	Suche:
SORTFILTER_ORDER	Order:
USE_DATE_RANGE	Ausgabe nach Datumsbereich:
REC_PER_PAGE	Datensätze pro Seite:
REC_PER_PAGE_SHOW	Zeige:&nbsp;
REC_PER_PAGE_RECORDS	&nbsp;Datensätze
SF_DISPLAY	Zeigen!!!
SF_SAVETEXT	Speichern als text...
SF_REMOVE	Auswahl löschen
SF_INV_STATUS	Status ändern
SF_SEL_ALL	Alle wählen
SF_DESEL_ALL	Alle abwählen
PROSPECT	User
PROSPECTS2	User
PROSP_NAME	Name:
PROSP_MAIL	Email:
PROSP_BEGIN_DAY	Beginne mit Tag :
PROSP_NO_SEQ	Ohne Ablaufsequenz
PROSP_ADD_BEGIN_DAY	In AblaufSequens einfügen - beginnend ab Tag
PROSP_UPD_USER	Update User
BULK_REM	Mehrere User löschen
PROSP_REM_DB	aus Datenbank gelöscht
PROSP_REMOVE	User löschen
PROSP_IMPORT	User importieren
INSERT_TEXT	Text einfügen:
OR_UPLOAD_FILE	oder aus Datei:
SEND_SUBSC_ALL_PROSP	Send subscribe message for all imported prospects.
ADD_NO_SEQ	Add new contacts to mailing list only (without adding to the message set sequence)
ADD_SEQ	Add prospects into sequence beginning with day
COPY_PROSPS_FROM_ACC	Kopiere User aus Accounts
ACCOUNT	Account:
FILTER	Filter:
IMPORT	Import
PROSP_EXPORT_READY	User fertig zum Export.
FORMAT	Format:
EXPORT_TO	Export nach:
EXPORT	Export
SUB_UNSUB_MSG	Nachrichten bei Eintrag / Austrag
EDIT_DOI_CONF_MSG	Bearbeite Double-Opt-In Bestätigung
SEND_SUBSC_MSG	Sende Nachricht bei Eintrag
SEND_UNSUB_MSG	Sende Nachricht bei Austrag
EDIT	Bearbeiten
PREVIEW	Vorschau
UPD_SETTINGS	Einstellung speichern
ADD_NEW_MSG	Neue Nachricht einfügen>>>
SEQ_MSGS	Sequentielle Nachricht:
SEQ_MSG_SUBJECT	Nachrichten Subject
ATTACH	Datei-Anhang
SENT	Senden
DAY	Tag
MANUAL_SHED_MSGS	Manuelle/Termin Nachrichten:
SHED_DATE	Termin Datum
IN_PROGRESS	In Ausführung
BROADCAST	Broadcast
TERM_PROC	Ausführung abbrechen
TST_SND_STR1	Ausgewählte Nachricht an
TST_SND_STR2	folgende Emailadresse senden:
BTN_TEST_SEND	Testsendung starten
SUBJECT	Subject:
TYPE	Type:
CHARSET	Zeichensatz:
PRIORITY	Priorität:
MSG	Nachricht:
ADD_ATTACH	Dateianhang wählen:
SEL_MSG_TYPE	Wähle Typ der Nachricht:
DAYS_AFTER_REG	Tage nach Registrierung:
SAVE	Speichern
#########################
#file accounts.dat
#########################
LOGOUT	ABMELDEN
FEEDBACK_FORM	Infos & Hilfe
GLOBAL_SETTS	Grundeinstellung
GLOBAL_LENG	Sprachen
STATS	Statistiken
XML_IMP	XML&nbsp;IMPORT
XML_EXP	XML&nbsp;EXPORT
BOUNC_MAILS	Bounced-Emails
MANUAL	Anleitung
ADD_NEW_ACC	Neuer Account:
CLONE	Kopie von:
BTN_NEW_ACC	Neu erstellen
#########################
#file author.dat
#########################
AUTHOR_LINE1	Zum  Eintritt in den Administrator-Bereich
AUTHOR_LINE2	bitte Sie das korrekte Passwort eingeben.
PASSWORD	Passwort:
ENTER	ENTER
#########################
#file bounce.dat
#########################
HANDLING_TOOL	Bounced-Emails Verwaltung.
POP_ACCS	POP3-Accounts
BOUNC_MSGS	Bounced Nachrichten
BLACKLIST	Blackliste
YOUR_POP_ACCS	Ihre POP3-Accounts
NO_POP_ACCS_FOUND	Keine POP3-Accounts gefunden
TOTAL_ACCS	Total Accounts:
POP_SERVER	POP3-Server
POP_USER	POP3-User
REM_PROSPS_AFTER	Remove prospects after:
BOUNC_HARD	Hard Bounces
BOUNC_SOFT	Soft&nbsp;Bounces
DEL_BOUNC_MSGS	Lösche Bounced Nachricht
TEST_CONN	Test Verbindung
STATUS	Status
TEST	Test
WITH_SEL	Mit gewählter:
DELETE	Löschen
ACTIVATE	Aktivieren
DEACTIV	Deaktivieren
TOTALS	Totals
NO_MSGS_FOUND	Keine Nachricht gefunden
TOTAL_DATES	Total Dates:
DATE	Datum
TOTAL	Total
TOTAL_HARD	Total hard
HARD	Hard
PROSPS_REMOVED	User removed
PROSPS_INACT	User deaktiviert
PROSP_NOT_FOUND	User nicht gefunden
SOFT	Soft
TOTAL_SOFT	Total soft
WAITING	Warten
POP_SERV_SETTS	POP3 server Verbindungseinstellungen:
DEL_BNC_ML_SERV	Lösche Bounced-Emails vom Server
DEF_COUNT_BOUNC	Zugelassene Anzahl von Bounced-Emails vor weiteren Aktionen:
REM_AFTER_HARD	Remove prospects after hard bounces:
REM_AFTER_SOFT	Remove prospects after soft bounces:
ACT_WITH_BOUNC	Aktionen mit Bounced Usern:
ACT_WITH_PROSP	Aktion mit User:
ADD_BNC_MAILS_BLACKL	Bounced-Emails in BlackListe eintragen
SAV_ACC	Account speichern
RESET	Reset
EMAIL	Email:
BOUNC_CODE	Bounce Code:
HARD_SOFT	Hard/soft:
PROC_STAT	Processing Status:
BOUNC_REASON	Bounce Ursache:
ORDER_BY	Sortiere nach:
SHOW_EMAILS_EXIST_PROS	Zeige Emails mit existierendem User im Account
DISPLAY	Zeigen
NO_COL_BNC_MSGS_FOUND	Keine aufgelaufenen Bounced-Mails gefunden
EXP_MAIL_TXT	Exportiere Emails in Text-Datei
TOTAL_MSGS	Total Nachrichten:
BOUNC_MAIL	Bounced email
PROSPS	User
INACT	Inaktive
RECVD	Received
PROC_STAT2	Processing Status
BNC_STATUS	Bounce Status
BNC_REASON	Bounce Ursache
CODE	Code
HARD_SOFT2	Hard/Soft
BTN_DEL_MSGS	Lösche Nachricht
BTN_REM_PROSP	Lösche User
BTN_ACT_PROSP	Aktive User
BTN_INACT_PROSP	Inaktive User
RFC_ERR_DESCR	RFC1893 Fehlercode Beschreibung
CODE2	Code:
BACK_2_BNC_MSGS	Zurück zu Bounced-Mails
REG_SETTS	Registrations Einstellungen:
REJECT_SUBSCR	Eintrag in BlackList abweisen
REG_ERR_MSG	Registrations Fehlermeldung:
SAV_SETTS	Einstellungen speichern
BNC_MAIL_BLACK	Bounced-Emails Blackliste.
IMP_MAILS	Import Emails
EXP_MAILS	Export Emails
NO_MAIL_FOUND	Keine Emails gefunden
TOTAL_EMAILS	Total Emails:
IMP_PROSPS	Import User
IMP_PROSPS_DESC	Hier können sie Emailadressen in die Blackliste importieren. Kopieren sie die Emailadressen einfach in die Textbox (eine Emailadresse pro Zeile). Vor dem Eintrag bitte die Syntax auf Fehler überprüfen ( email@domain.com).
BTN_IMPORT	Import
BULK_REM_DESC1	Sie können Emailadressen aus der Blackliste löschen indem sie diese in die Textbox eintrgaen und auf "Löschen" klicken.
BULK_REM_DESC2	Eine Mailadresse pro Zeile. Sie können also auch eine Schablone / Stichwörter verwenden. Ein Beispiel: Sie wollen alle Adreesen löschen die "hotmail" beinhalten, sogeben sie in die Textbox "hotmail" ein und alle Adressen mit dem Begriff
BULK_REM_DESC3	"hotmail" in der Emailadresse werden gelöscht.  
BULK_REM_DESC4	i.e. hotmail@aol.com, mike@hotmail.com, myhotmail@email.com - werden alle von der Liste gelöscht
BTN_REMOVE	Löschen
#########################
#file daylystat.dat
#########################
BRODC_STARTED	Broadcaster has been started up
TIMES_THIS_DAY	times this day
REPORT_GEN	This report was generated
#########################
#file exportxml.dat
#########################
STEP1	Schritt 1
STEP1_DESC1	Wählen Sie einen Account, XML-Dateinamen und Zeichensatz<br>aus, und geben sie an wo die  XML-Datei gespeichert werden soll.
STEP1_DESC2	(XML-Datei ist auf Ihrem aktuellen FUMP-Verzeichnis)
XML_DOC	XML Dateiname:
WHERE_STORE_XML_DOC	Wo soll die XML-Datei gespeichert werden?
ENCODING	Zeichensatz:
CREATE_XSD	XSD-Datei zur Nutzung von Access 2002 erstellen:
NEXT2	Nächster Schritt [2]&gt;&gt;
XSD_DESC1	XSD-Datei.
XSD_DESC2	Mit der Erstellung einer XSD-Datei können ihre Daten einfach in Microsoft Access 2002 importiert werden.
XSD_DESC3	Diese Datei hat den selben Dateinamen wie die XML-Datei: emails.xml - emails.xsd
STEP2_SEL_FLDS	Schritt 2 - Felder wählen
STEP2_SEL_FLDS_DESC	Bitte Felder auswählen und Feldnamen zum Export angeben.
NEXT3	Nächster Schritt [3]&gt;&gt;
STEP4_FINISH	Schritt 4 - ENDE:
XML_EXP_SUC	XML EXPORT ERFOLGREICH ABGESCHLOSSEN!
#########################
#file importxml.dat
#########################
IMP_ST1_DESC1	Wählen sie einen Account, die XML-Datei and level where in XML file data about users are stored
IMP_ST1_DESC2	(XML-Datei muss im FUMP-Verzeichnis liegen)
LEVEL_DATA_STORED	Level where users data was stored:
HERE_IS_SAMPLE	Hier das Beispiel einer XML Datei, die sie von Microsoft Access 2002 exportieren können.
STEP2_SEL_FLDS_DESC_IMP	Bitte Felder wählen die importiert werden sollen.
STEP3	Schritt 3 - You are attempting to import :
BTN_IMPXML	IMPORT&gt;&gt;
XML_IMP_SUC	IMPORT ERFOLGREICH ABGESCHLOSSEN!
PROSPS_WERE_ADD	User in Datenbank hinzugefügt.
#########################
#file links.dat
#########################
YOUR_LINKS	Ihre Links
ADD_NEW_LINK	Add new link&gt;&gt;&gt;
NO_LINKS_FOUND	Kein Eintrag gefunden
TOTAL_LINKS	Total links:
TEMPLATE	Template
NAMEE	Name
CLICKS	Klicks
PROSPECTS	User
ISCLEAN	Clean?
DEL_SELECTED	Markierte löschen
TOTALU	Total:
LINKS_DESC1	Hier können sie spezielle Links erstellen und bearbeiten. Diese Links können sie in Nachrichten einfügen. Die Klicks auf die einzelnen Links werden in der Statistik protokolliert.
LINKS_DESC2	In ihren Nachrichten fügen sie die Links mit diesem Tag  <b>[LINK123]</b> in den Text ein.
EDIT_LINK	Link bearbeiten
INS_NEW_LINK	Neuen Link einfügen
LINK_PROPS	Link Eigenschaften
UPD_LINK	Update Link
SAV_LINK	Neuen Link speichern
BTN_CANCEL	Abbrechen
SHOW_REC_FOR	Show records for:
BTN_SHOW	Show
DATE2	Datum:
LINK	Link:
MESSAGE	Message:
NO_PROSPS_FOUND	Keine prospects vorhanden
NO_CLICKS_FOUND	Keine Klicks vorhanden
ACT_UNIQ_PROSPS	Active unique prospects:
CLICKS_FOUND	Klicks gefunden:
CL_NAME	Name
CL_MAIL	Email
CL_PROF	Profile
TOTAL_CLICKS_U	Total Klicks:
#########################
#file links.dat
#########################
REGISTRATION_ERROR	REGISTRATION ERROR
REGISTER	Registrieren
#########################
#file settings_shabl.dat
#########################
YOUR_PERS_INFO	Ihre persönlichen Daten
YOUR_NAME	Ihr Name:
YOUR_EMAIL	Ihre Email:
YOUR_PERS_INFO_DESCR	Diese globale Einstellung wird vorab für alle Konten als Standardeinstellung benutzt.  Die Daten können jedoch in jedem angelegten Account neu zugeordnet werden.
SEND_ME_BROAD_STAT	Sendestatistiken per
SEND_ME_BROAD_STAT2	Email zusenden:
BTN_UPD_SETTS	Einstellung speichern
MAIL_PROG_SETTS	Mail-Programm Einstellung
SENDMAIL_PATH	Sendmail-Pfad:
SEND_THROUGH	Senden mit:
SMTP_SERVER	SMTP-Server:
SMTP_AUTH	SMTP-Authentisierung
SMTP_REQ_SASL	SMTP-Server erfordert SASL (Simple Authentication and Security Layer RFC2554) Authentisierung
SMTP_USER	SMTP-Username:
SMTP_PASS	SMTP-Passwort:
SEND_SPD	Sendegeschwindigkeit
QUANT_PROCS	Anzahl gleichzeitiger Sendungen:
OR_B	ODER
USE_OLD_ALG	verwenden Sie alten Algorithmus (Einzelprozess) zum Senden (wenn Sie irgendwelche Probleme mit dem Senden der Nachrichten durch 'Senderscript' haben)
BOUNC_RET_PATH_OPTS	Optionenfür Bounce-Mail Rücklauf-Pfad:
USE_FOLLOW_UP	Folgende Mailadresse als SMTP-Sender nutzen
1ST_WAY	1. Option:
1ST_WAY2	Sendmailzusatz -f an folgende Emailadresse:
2ND_WAY	2. Option: Return-Path message header:
2ND_WAY2	Kann leer bleiben, wenn Sie diese Option nicht hinzufügen möchten.
2ND_WAY3	This is not good idea to add this header to messages manually, but somteimes with Qmail it is works.
3RD_WAY	3. Option: Errors-To message header:
3RD_WAY2	Kann leer bleiben, wenn Sie diese Option nicht hinzufügen möchten.
ADMIN_AREA_PASS	Passwort zum Schutz des Adminbereiches
ADMIN_AREA_PASS_OLD	Altes Passwort:
ADMIN_AREA_PASS_NEW	Neues Passwort:
ADMIN_AREA_PASS_RET	Wiederhole Passwort:
USE_PERIOD	Auswahl Zeitraum:
USE_PERIOD_TO	bis
USE_PERIOD_BTN_SHOW	Anzeigen
ENABLE_LOG	Protokollierung aktivieren
BTN_OK	OK
BTN_CLENUP_LOGS_IN_RANGE	Lösche Protokoleinträge im Datumsbereich
BTN_CLEANUP_ALL_LOGS	Lösche alle Protokoleinträge
BROAD_LOG_TOTAL	Broadcaster log. Total
RECORDS	Einträge.
CURRENT_OR_PREV_BR_LOG	Aktuelle oder vorherige Protokolleinträge wurden
ROWS_FOUND	Zeilen gefunden
SAVE_LOG_INTO	Speichere Protokoll in die
SAVE_LOG_INTO_FILE	Datei
BTN_SAVE_SETTS	Einstellung speichern
TIME_SYNCH	Zeit-Synchronisation
TIME_SYNCH_SRV_TIME	Serverzeit :
TIME_SYNCH_CORR_TIME	Korrekte Zeit:
TIME_SYNCH_COR_TIME	Zeitdifferenz:
TIME_SYNCH_HHMM	+hh:mm oder -hh:mm
SETTS_REMOVE	Remove
SETTS_NAME	Name
SETTS_RESTORE	Restore
SETTS_DATE	Datum
SETTS_SIZE	Size
BTN_REM_SEL	Auswahl löschen
BTN_RESTORE	Restore
NEW_BACKUP	Neues Backup erstellen
NEW_BACKUP_NAME	Neuer Backup-Name:
NEW_BACKUP_NAME_CHARS	Nur [a-z_0-9] verwenden
BTN_BACKUP	Backup starten
MAIL_PROG_PERF_TEST	Leistungstest für Mailprogramm
MAIL_PROG_PERF_TEST_DESC1	Dieser Test zeigt Ihnen, wie lange Ihr Server genutzt wird, um die angegebene Menge von Emails zu senden.
MAIL_PROG_PERF_TEST_DESC2	Bitte tragen sie die Emailadresse die genutzt werden soll ein und klicken den
MAIL_PROG_PERF_TEST_DESC3	'Test starten'
MAIL_PROG_PERF_TEST_DESC4	Button
MAIL_PROG_PERF_TEST_DESC5	nur einmal
MAIL_PROG_PERF_TEST_DESC6	FollowUp Mailing List Processor sendet die Testmails an die eingetragene Emailaddresse. Dabei wird die benötigte Zeit ermittelt.
MAIL_PROG_PERF_TEST_DESC7	Dieser Test benutzt: &nbsp;
ENTER_YOUR_EMAIL_ADDRESS	Emailadresse eintragen
BLAST_SIZE	Anzahl der Testmails (30-300 Nachrichten)
MAIL_PROG_PERF_TEST_BTN_TEST	Test starten
MAIL_PROG_PERF_TEST_RESULTS	Mail program performance test results
MAIL_PROG_PERF_TEST_RESULTS1	messages has been send to
MAIL_PROG_PERF_TEST_RESULTS2	The proccess has taken
MAIL_PROG_PERF_TEST_RESULTS3	seconds
MAIL_PROG_PERF_TEST_RESULTS4	Your
MAIL_PROG_PERF_TEST_RESULTS5	performance shown below:
MAIL_PROG_PERF_TEST_RESULTS6	messages per minute
MAIL_PROG_PERF_TEST_RESULTS7	messages per hour
#########################
#file responder.cgi
#########################
ACCOUNTMENU_MAIN	Account-Menü
ACCOUNTMENU_OPTIONS	Grundeinstellung
ACCOUNTMENU_OPTIONS_DESCR	Hier legen Sie die wichtigen Grundinstellungen für diesen Account (Mailliste) fest. Es werden die POP3 Konten bei Ein- und Austrag von Usern festgelegt, ihr Absendername und Absender-Mailadresse eingetragen und verschiedene Weiterleitungsadressen bei Ein- und Austrag angegeben. Zudem können sie bestimmen ob das double-opt-in Verfahren genutzt werden soll.
ACCOUNTMENU_HTML_FORM	HTML-Formular
ACCOUNTMENU_HTML_FORM_DESCR	Hier können Sie das HTML-Formular für den Eintrag ihrer User festlegen und als Vorschau prüfen. Diesen HTML-Code fügen sie dann per 'kopieren' und 'einfügen' in ihre Webseite ein. Sie können beliebig viele Extrafelder wie Telefon, Telefax, Straßenadresse, etc. hinzufügen und löschen.
ACCOUNTMENU_SUBSCR_MAN	Eintrag-Manager
ACCOUNTMENU_SUBSCR_MAN_DESCR	Hier können Sie User neu hinzufügen, bearbeiten, importieren, exportieren, oder direkt aus anderen Accounts übernehmen.
ACCOUNTMENU_EDIT_MESS	Nachrichten-Manager
ACCOUNTMENU_EDIT_MESS_DESCR	Dies ist das Sendezentrum: Hier erstellen Sie ihre personifizierten Emailnachrichten und sequentiellen Autorespondermeldungen, einschließlich der automatischen Bestätigungsnachrichten und Dateianhänge.  Hier starten und versenden sie ihre Mailaktionen.
ACCOUNTMENU_LINKS	Links
ACCOUNTMENU_LINK	Link
ACCOUNTMENU_LINKS_DESCR	Hier können Sie Ihre Links hinzufügen und bearbeiten. Diese Links können sie in  den Statistiken Ihres Mailing sehen.
ACCOUNTMENU_LINKS_MESS_STAT	Messages statistics
ACCOUNTMENU_LINKS_ACT_PROSP	Aktive User
ACCOUNTMENU_LINKS_CLICKS	Klicks
SETTINGSMENU_MAIN	Übersicht
SETTINGSMENU_PERSONAL	Pers.Daten
SETTINGSMENU_PERSONAL_DESCR	Hier können Sie Ihren Usernamen und Emailaddresse eintragen, die Sie für Sendereports und -mitteilungen für Nachrichten beim Eintrag und Austrag (subscribes/unsubscribes) von Kunden nutzen.
SETTINGSMENU_SENDING_OPTIONS	Sendeoptionen
SETTINGSMENU_SENDING_OPTIONS_DESCR	Hier müssen Sie entweder Ihr Server-Mailprogramm und Pfad, oder die Adresse Ihres SMTP-Servers eintragen. Ebenfalls können Sie  Zusatzeinstellungen wie <i>Return-Path</i> oder <i>Erorrs-To</i> und Mailboxen für Fehlermails (bounce) definieren.
SETTINGSMENU_ACCESS	Sicherheit
SETTINGSMENU_ACCESS_DESCR	Wechseln des Passwortes zum Login für den Adminbereich.
SETTINGSMENU_TIME_SYNC	Zeit Synchron.
SETTINGSMENU_TIME_SYNC_DESCR	Hier können Sie Ihre Serveruhrzeit mit Ihrer lokalen Uhrzeit synchronisieren.  Erforderlich für zeitlich genau geplante Mailaktionen.
SETTINGSMENU_PERFOM	Performance
SETTINGSMENU_PERFOM_DESCR	Hier können sie die Serverleistung beim Versenden von Emails prüfen.
SETTINGSMENU_BACUP_RESTORE	Backup/Restore
SETTINGSMENU_BACUP_RESTORE_DESCR	Erstellen einer Sicherungskopie ihrer Datenbank. Ebenfalls kann die Wiederherstellung ihrer Datenbank ausgeführt werden.
STATMENU_MAIN	Übersicht
STATMENU_ACT_LOGS	Aktivitäten - Logs
