English	utf-8
BROADCAST_PROCESSING_BOUNCED_ACCOUNT2	for
BROADCAST_BOUNCED_FINISHED	Finished processing bounced messages
BROADCAST_BOUNCED_MESSAGES_PROCESSED	messages processed
BROADCAST_BOUNCE_STARTED_2	Processing bounced messages
BROADCAST_BOUNCE_STARTED	Bounced processing started
BROADCAST_CAN_NOT_LOAD_DELIVERY_MODULE	Error: Cannot load Mail::DeliveryStatus::BounceValidator module
BROADCAST_MAIN_PROC_STARTED	Main process started
TAGS_FROM_NAME	From name
TAGS_FROM_EMAIL	From email
ORDER	Order
PERSONAL_LOAD_FROM_URL_DESCR	You can load content from any URL. For example [LOAD_FROM_URL_http://www.yourdomain.com/] will download the content of your home page into the message. Note that you can use only "http://" URLs. This function can be used e.g. to add content of a news page to all your messages without the need to add the news to each message template.
PERSONAL_SIGNATURE_DESCR	You can add a preset signature by using this special tag. To create a new signature please use the Signature Manager.
ERROR_LOADING_FROM_URL	Error loading content from URL
NOTE_MESSAGES_WILL_NOT_BE PERSONALIZED	<B>Note:</B> Message sent with "Test send" are not personalized.
SIGNATURE_EDIT	Edit signature
SIGNATURE_NEW	New signature
SIGNATURE_INCORRECT_NAME	Allowed are only A-Z,a-z,_ symbols
TEXT_SIGNATURE	Text signature
HTML_SIGNATURE	HTML signature
SIGNATURES_EDIT_DESCR	You can add message personalization tags like [FIRSTNAME] into signatures. Text signature will be used for text type messages - HTML signature for HTML body of messages. You cannot add links to other signatures and change a signature name if it is already used in messages.
INSERT_SIGNATURES	Insert signature
SIGNATURE_NAME	Signature name
USED_IN_MESSAGES	Active in messages
SIGNATURE_DELETE_CONFIRM	Are you sure you want to delete this signature?
SIGNATURE_EDIT_DESCR	Edit signature
SIGNATURE_CLONE_DESCR	Duplicate signature
SIGNATURE_DELETE_DESCR	Delete signature
CREATE_NEW_SIGNATURE	Create new signature
YOUR_IP	You current IP address
IP_BAN_ERROR_MESSAGE_DEFAULT	You are not allowed to view this page	
IP_BAN_ERROR_MESSAGE	Ban IP error message
IP_BAN_LIST	Banned IP list
IP_BAN_LIST_DESCR	Please enter a list of banned IP if you want to block registration from a particular address. You need to enter one IP (like 167.22.34.65) per line (mask addresses are also supported). Also you need define an error message, that will be displayed to visitors if their IP was banned. Note that the banned IP list is global for all accounts.
SIGNATURES_NOT_FOUND	No signatures found
INCORRECT_URL	Please do not experiment with the URL
MANAGE_SIGNATURES	Manage signatures
ACCOUNT_ID	ID
ACCOUNT_DELETE_CONFIRM	Are you sure you want to delete the account?
ACCOUNT_NEW	New account
ACCOUNT_EDIT	Edit account
ACCOUNT_CLONE	Duplicate account
ACCOUNT_NAME	Account name
ACCOUNT_DESCR	Account description	
CREATE_NEW_ACCOUNT	Create new account
ACCOUNT_STATUS_INACTIV_DESCR	Account disabled. Click to activate the account
ACCOUNT_STATUS_ACTIV_DESCR	Account active. Click to disable the account
ACCOUNT_EDIT_ACCOUNT_DESCR	Edit account name and description
ACCOUNT_CLONE_ACCOUNT_DESCR	Duplicate account. (Settings and messages)
ACCOUNT_DELETE_ACCOUNT_DESCR	Delete account (All settings, prospects and messages will be removed)
CONFIRM_ENABLING_ACCOUNT	Are you sure that you want activate the account?
CONFIRM_DISABLING_ACCOUNT	Are you sure that you want disable the account?
DESCRIPTION	Description
MANAGE_ACCOUNTS	Manage accounts
ACCOUNT_BROWSER_NO_ACCOUNTS_FOUND	No accounts found
DAILY_REPORT	Daily report
#register.cgi
REG_FROM_ACCOUNT	from account
REG_ACCOUNT_WAS_NOT_FOUND	Account not found
REG_SUBSCRIBER_WAS_NOT_FOUND	Subscriber not found
REG_REDIRECT_LINK_NOT_FOUND	Redirect links not found
REG_ACCOUNT_IS_NOT_EXIST	ACCOUNT DOES NOT EXIST!
REG_EMAIL_IS_INCORRECT	Email is incorrect
REG_REQUIRED	required
REG_CANTSHOW_CONFIRM	Unable to show confirm page - incorrect parameters
REG_CANTSHOW_THANKYOU	Unable to show thank you page - incorrect parameters
REG_CAN_NOT_OPEN_FILE	Unable to open file
REG_DOI_PAGE_IS_NOT_DEFINED	Double opt-in page is not defined
REG_ALREADY_CONFIRMED	You have already confirmed your subscription.
REG_LOG_DELETING_USER	Deleting  prospect
REG_MSG_UNSUBSCRIBED_SUBJ	User unsubscribed
REG_MSG_UNSUBSCRIBED_BODY1	Prospect
REG_MSG_UNSUBSCRIBED_BODY2	removed from account
#end register.cgi
FROM_SETTINGS	From settings
USER_DEFAULT_ACCOUNT_FROM_NAME	Use account defaults 
OVERRIDE_FROM_NAME_AND_EMAIL	Override name and email 
USE_EMAIL_AND_NAME_FROM_PROSPECT_FIELDS	From prospect preferences
USE_EMAIL_AND_NAME_FROM_REFERRER	From referrer contact information
UPDATE	update
SKIP	skip
WITH_EXISTING_PROSPECTS	With existing prospects
USR_BROWSER_IMPORT_PROSPUPDATED	prospects updated
EXPORT_TO_TAB_DELMITTED	Export to tab-delimited file
DUBLICATE_MESSAGE	Duplicate message
WARNING	Warning
TAB_DELMITTED_DESCR	You can import prospects from tab- delimited files. You can download an example to see all the fields that you can import.<BR> <FONT color="red"><B>Please do not change fields position (you cannot delete or swap columns)</B></FONT>. Name and email are required, all others fields are optional (just leave them blank if you do not want to import them). Registration date must be in format <B>YYYY-MM-DD</B> (note that MS-Excel will convert date format and you need turn it back). First line of file will be skipped - it is usually the column header.<BR><BR><B>Tip: </B>You can easily edit tab-delimited files in MS-Excel and then import them back by using tab separated import tool - all existing prospects will be updated. Fields that will be updated: Name, Registration Date, IP, all custom fields and the default message format. Fields that will not be updated in existing prospects: Email, Sequence Information.
DOWNLOAD_TEMPLATE	Download example tab-delimited file
UPLOAD_TAB_DELMITTED_FILE	Upload tab-delimited file
IMPORT_FROM_XML	XML import
IMPORT_FROM_TAB_DELMITTED	Import from tab-delimited file
IMPORT_FROM_TEXT	Simple text import
CUSTOM_FROM_EMAIL	Custom from name and email
SELECT_TO_ADD_HIDDEN_FROM	Select this option if you want to add customized "From name" and "From email" information for each prospect
SELECT_TO_ADD_HIDDEN_FROM_DESCR	2 hidden fields 'FromName' and 'FromEmail' will be added to subscribe form. If these fields are not empty then the prospect will receive messages from the name and email address defined in these hidden fields.
JS_VALIDATION_EMAIL_ERROR	Please enter a valid email address!
JS_EMAIL_NAME_VALIDATION	JavaScript form validation
SELECT_JS_VALIDATION	Select this option if you want add JavaScript name and email address validation
PERSONAL_REFERRER_TRACKING_ID_DESCR	This field is used to personalize referring to your subscribe form. You can add this tag in links like <U>http://www.yourdomain.com/page-where-my-form-is-located.html?ref=[REFERRER_TRACKING_ID]</U>.
PERSONAL_REFERRER_TRACKING_ID	Referrer tracking ID
COLLECTING_AFFILIATE_INFORMATION	Collecting referrer information
ENABLE_COLLECTING_AFFILIATE_INFORMATION	Collect referrer information
COLLECTING_AFFILIATE_INFORMATION_DESCR	Select this checkbox if you want to collect information about your referrers.<BR><B> Referrer:</B> An active prospect who referred your subscription form on your website. Each prospect has its own unique REFERRER TRACKING ID. You can personalize messages with referrer tracking id by adding a link to the page where your subscribe form is located. <BR>Example: <B>You can refer your friends to my mailing list by using URL http://www.yourdomain.com/subscribe.html?ref=[REFERRER_TRACKING_ID]</B><BR><BR>[REFERRER_TRACKING_ID] will be replaced with a unique value for each prospect. New prospects will be registered by using this link, referrer information will be saved and new prospects will receive messages from your referrer (FROM header will be replaced by your referrer information).
HTML_FORM_OTIONAL_SUBSCRIBE_CKECKBOX	Subscribe to account
HTML_FORM_UNSUBSCRIBEUNSUBSCRIBED_ACCOUNTS	Select accounts where you automatically want to unsubscribe prospects<br>when they unsubscribe from this account.	
HTML_FORM_SUBSCRIBEOPTION_ACCOUNTS	Add an optional subscription checkbox for another account to your registration form.
MESSAGE_FORMAT_CHOISE	Messages format choice
HTML_FORM_INTEGRATION	Integration
HTML_FORM_OPTIONS	Subscribe/unsubscribe settings
HTML_FORM_FIELDS	Custom fields
CYCLE_ACTIVATED	Cycle activated
DISABLED	Disabled
SEQUENCE_CYCLE_DESCR	If enabled, all sequential messages will be sent to the prospects. FUMP will wait the defined number of days and then restart the sequence. You can setup how many times the sequence will be repeated for each prospect (leave the field blank for unlimited repetition).
REPEAT_SEQUENCE_TIMES	times for each prospect.
REPEAT_SEQUENCE	Repeat sequence maximum 
SEQ_WAIT	Wait
START_NEW_SEQ_AFTER_DAYS	days and start new sequence starting from <BR> message
ENABLE_SEQ_CYCLE	Enable sequence cycle
SEQUENCE_CYCLE_SETUP	Sequence cycle preferences
MODIFY	Modify
ERROR_DATE_MUST_BE_IN_FUTURE	Must be a future date
PROSPECT_NOT_FOUND	Prospect not found
CUSTOM_FROM_MESSAGES_SETTINGS	Custom from message header information
AFFILIATE_ID	Referrer ID
CURRENT_AFFILIATE_EMAIL	Referrer email:
CURRENT_AFFILIATE_NAME	Referrer name:
AFFILIATE_INFORMATION	Referrer information
LAST_SEQUENCE_MESSAGE_WAS_SENT_AT	Last sequential message was sent on
SEQUENCE_WAS_SENT	was sent
SEQUENCE_DAY_SMALL	day
SEQUENCE_STATUS_STARTED	Sequence started
SEQUENCE_STATUS_DISABLED	Sequence disabled
SEQUENCE_STATUS_FINISHED	Sequence finished
HIDE_ADVANCED	Hide advanced settings
SHOW_ADVANCED	Advanced settings
CLICK_TO	Click to
REPEAT_MESSAGE_0	no repeat
REPEAT_MESSAGE_1	repeat daily
REPEAT_MESSAGE_2	repeat weekly
REPEAT_MESSAGE_3	repeat monthly
REPEAT_MESSAGE_4	repeat yearly
REPEAT_MESSAGE	Repeat scheduled message
MESS_TYPE_MANUAL	Manual broadcasting
MESS_TYPE_DOI	Double opt-in confirmation
MESS_TYPE_AUTO	Sequential follow up
MESS_TYPE_SENDDAT	Scheduled or repeated
MESS_TYPE_SUBSCRIBE	Subscribe
MESS_TYPE_UNSUBSCRIBE	Unsubscribe
MESS_TYPE	Message type:
MESS_SENDING_FORMAT_TYPE	Sending format type:
SPLASH_PAGE_SETTINGS_DAILY_STATS	Daily report
SPLASH_PAGE_SETTINGS_ACTIVITY	Activity Logs 
SPLASH_PAGE_SETTINGS_CURBROADCAST	Current Broadcast Logs 
SPLASH_PAGE_SETTINGS_TOTALSTAT	Total Statistics
SPLASH_PAGE_SETTINGS_BOUNCED	Bounced Emails
SPLASH_PAGE_SETTINGS_BOUNCED_TOTAL	Bounced Totals
SPLASH_PAGE_SETTINGS_NEWS	News/Support
SPLASH_PAGE_SETTINGS	Splash page settings:
OPEN_ONLINE_HTML_EDITOR	Open HTML editor
ACCOUNT_MENU_EDIT_CURRENT_PROSPECT	Edit prospect
SELECT_FIELDS_DESCR	Select the fields that will be displayed in the prospect manager. Just use buttons or double click on boxes to select/remove fields from prospect manager. (It will not change any information in your database)<BR><BR><B>Referrer level: </B>If you are using the referral system, you can choose the level of your referral system. This will add additional information about the Referrer ID, Email and Name for each level of your referral system. If you prospects have no referrers these fields will be empty in your prospects manager.
PROSP_SEQUENCE_STATUS	Current sequence status
PROSP_SEQUENCE_STATUS_DESCR	Current sequence status means what last sequential message was sent to your prospect and when it was sent. This information is updated by FUMP automatically, but if you want you can correct it manually. 
PROP_IMG_DESCR	Edit
REMOVE_IMG_DESCR	Remove prospect
ACTION_VALUE_REMOVE	remove
ACTION_VALUE_ACTIVATE	activate
ACTION_VALUE_DEACTIVATE	deactivate
ACTION_VALUE_RESTART_SEQUENCE	restart sequence
ACTION_VALUE_DEACTIVATE_SEQUENCE	deactivate sequence
BUTTON_CONFIRM_BEFORE	Are you sure that you want to
BUTTON_CONFIRM_AFTER	the selected prospects?
BUTTON_ACTION	Process
WITH_SELECTED	With selected
REPORTSEARCHBY	Search by
REP_FIELDS_SELECTED_END	selected
REP_FIELDS_SELECTED_BEGIN	fields from
ORDER_BY 	Order by
SHOW_AFFILIATE_LEVEL	Referrer level
SELECT_FIELDS_UP	&nbsp;&nbsp;Up&nbsp;&nbsp;
SELECT_FIELDS_DOWN	Down
SELECT_FIELDS_ALL	All
AVALIBLE_FIELDS	Available fields
SELECTED_FIELDS	Selected fields
FLD_SEQUENCE_REPEAT_DESC	How many times the sequence was repeated
FLD_NAME_DESC	Prospect name
FLD_EMAIL_DESC	Prospect email
FLD_PK_USER_DESC	Prospect ID in the FUMP database
FLD_DATEREG_DESC	Date when prospect was registered
FLD_DAYS_DESC	Sequense status information. If a message with days set to 10 was sent to prospect, it will show 10 in report.
FLD_DATELASTSEND_DESC	Date when last sequential message was sent
FLD_MESSLASTSEND_DESC	ID in last sequential message was sent
FLD_COUNTSEND_DESC	Counter of messages (all types of messages are logged)
FLD_IP_DESC	Registration IP address
FLD_UNSUBSCRIBE_DESC	Unique value that has been assigned to each prospect. Usually it is generated automatically when the first message was sent to the prospect.
FLD_USERMESSAGEFORMAT_DESC	HTML, text or default
FLD_SEQUENSE_SIZE_DESC	How many messages in sequence in current account. Same value for each prospect.
FLD_SEQUENCE_NOW_DESC	How many sequential messages where sent.
FLD_STATUS_DESC	Active, Pending (not confirmed), or Inactive
FLD_FROMEMAIL_DESC	If you are using hidden <B>from email</B> field in your HTML form, this field will display the value of <B>from email</B> that was submitted on registration. If you define <B>From settings</B> as <B>"From prospect preferences"</B> in your message, then messages will be sent to prospect from this email address (if field is empty messages will be sent from default account settings). Also you can put this value into your messages as personalization tags.
FLD_FROMNAME_DESC	If you are using hidden <B>from name</B> field in your HTML form, this field will display the value of <B>from name</B> that was submitted on registration. If you define <B>From settings</B> as <B>"From prospect preferences"</B> in your message, then messages will be sent to prospect from this name (if field is empty messages will be sent from default account settings). Also you can put this value into your messages as personalization tags.
FLD_REFERRER_LINK_DESC	Referrer track is used for referring prospects to your mailing list. It is the same as "Unique user ID" but for security reasons it must be a different unique value.
FLD_PK_USER	ID
FLD_SEQUENCE_REPEAT	Sequence repeated
FLD_REFERRER_LINK	Referrer track
FLD_DATEREG	Registration date
FLD_DAYS	Sequence days
FLD_DATELASTSEND	Last sent date
FLD_MESSLASTSEND	Last sent message ID
FLD_COUNTSEND	Sent messages count
FLD_IP	IP
FLD_UNSUBSCRIBE	Unique user ID
FLD_USERMESSAGEFORMAT	Default message format
FLD_SEQUENSE_SIZE	Sequence size
FLD_SEQUENCE_NOW	Sequence now
FLD_STATUS	Status
FLD_FROMEMAIL	From email
FLD_FROMNAME	From name
FLD_KEY	ID
FLD_NAME	Name
FLD_EMAIL	Email
PARENT_AFFILIATE	Referrer
PROSPECT_REPORT_SELECT_FIELDS	Select fields
FROM_DATE	From
TO_DATE	till
SEARCH_BY Search by
#WEEK_START_DAY 0=Sunday 1=Monday 
WEEK_START_DAY	0
TODAY	Today
DW_0	Sunday
DW_1	Monday
DW_2	Tuesday
DW_3	Wednesday
DW_4	Thursday
DW_5	Friday
DW_6	Saturday
DW_0_S	Su
DW_1_S	Mo
DW_2_S	Tu
DW_3_S	We
DW_4_S	Th
DW_5_S	Fr
DW_6_S	Sa
#Version 4.21
LINK_CLEAN	clean
REG_ERROR_NAME	Your name:
TEMPLATES_LOCATED_IN	Templates directory - 
PREFERENCES_PAGE_TEMPLATE	Preferences page template
SENDING_DELAY_DESCR	*) Critical settings. Ensure you choose the correct setting!<br><br>Warning: Use non-zero value for "Delay between emails" only if you have performance issues with your server, a limit for sending messages or if you are on a shared web server. A delay will be added between each email to be sent and will result in slower delivery of your emails. For example your server can send 10 messages per second (36.000 messages per hour) if the delay is set to 1 second per email, the added delay will be 36.000 seconds (10 hours). As result all emails will be completely sent after 11 hours.
SENDING_DELAY	Delay between emails (seconds)
REDIR_ALREADYREMOVED_DISCR	This value will be used for all accounts
REDIR_ALREADYREMOVED_TO	"Already removed" page URL
REDIR_ALREADYSUSCR_TO	"Already subscribed" page URL
READ_MORE	Show email...
NO_MSGS_HISTORY_FOUND	No emails present in your history archive.
YOUR_WEB_HISTORY	Personal email archive
RSS_DEF_ENC	Default - preferred
RSS_SCRIPT_PARAM	Input script parameter name
RSS_SCRIPT_URL	Input script URL
RSS_TEXTINPUT	Text input settings
RSS_USETEXT_INPUT	Use text input section
RSS_ENCODING	Channel encoding
RSS_LANG	Channel language
RSS_COPYLINE	Copyright text
RSS_TITLE	Title
RSS_DISCR	Description
RSS_URL	Your site URL
PERSONAL_RSS_LINK	By clicking this link your prospect will be able to subscribe to the personalized RSS-feed from your messages
PERSONAL_HTML_LINK	By clicking this link your prospect will be able to view the personalized HTML archive of your messages
TAGS_RSS_LINK_DISCR	Links to personalized RSS and HTML newsfeed archive
TAGS_RSS_LINK	RSS-link
TAGS_HTML_LINK	HTML archive link
SAVE_MESSAGE_IN_USER_HISTORY	Save current message into personalized RSS-feed
RSS_LINK	Link to your homepage
RSS_MAIN_SETTINGS	Main RSS settings
RSS_SETTINGS	RSS 2.0 Channel settings
ACCOUNTMENU_HTML_RSS	RSS Channel
ACCOUNTMENU_HTML_RSS_DESCR	Configure the RSS channel.
NOTIFY_ABOUT_MODIFICATIONS	Enable admin notification of each modification:
ERROR_CONFIRM_SUBJ_NOT_DEFINED	Error: Confirmation message subject is not defined - please check your account options.
ERROR_CONFIRM_BODY_NOT_DEFINED	Error: Confirmation message body is not defined - please check your account options.
ERROR_NOT_ALLOWED_TO_MODIFY	Apologies, the modification of contact information is currently not possible.
ERROR_TAG_CONFIRM_REQUIRED	<B>[CONFIRM_URL]</B> tag required
CONFIRMATION_MESSAGE_SUBJECT	Confirmation email subject
CONFIRMATION_MESSAGE_TEXT	Confirmation email body
DISABLE_MODIFY_SERVICE	Disable modification of contact information:
DISABLE_MODIFY_SERVICE_DISCR	Access to modify contact information page will be disabled
ALLOW_MODIFY_MESSAGES_FORMAT	Allow prospect to change message format:
MODIFY_CONTACT_INFORMATION	Modification of contact information by prospects
SAVE_CONTACT_INFO	Save
NAME	Your name:
YOUR_CONTACT_INFO	Your preferences:
CHANGE_YOUR_PREF	Change your preferences
HTML_ONLY	HTML only
TEXT_ONLY	TEXT only
HTML_AND_TEXT	HTML and TEXT
MSG_TEXT_FORMAT	Send emails in TEXT format
MSG_HTML_FORMAT	Send emails in HTML format
MSG_RSS_FORMAT	Your RSS-feed description text (500 characters max.)
DEFAULT_MESSAGE_TYPE	Default email format
DEFAULT_MESSAGE_TYPE_DISCR	If your subscriber did not select a preferred email format, the message will be sent in the default format.
INSERT_SPECIAL_TAG	<br>Click on link below to insert personalization tag.<br>
CLICK_HERE_TO_INSERT	Click here to insert a special tag
TAGS_CHANGE_CONTACT_INFO	Modify contact info
TAGS_UNSUBSCRIBE_LINK	Unsubscribe link
TAGS_FNAME	First name
TAGS_FULLNAME	Full name
TAGS_DATE	Date
TAGS_REGDATE	Registration date
TAGS_EMAIL	Email
TAGS_PERSONAL_INFO	Personal info
TAGS_CUSTOM_FIELDS	Custom fields
TAGS_TEMPLATES	Templates
TAGS_LINKTRACK	Link tracking
TAGS_ONE_CLICK_SUBSCRIBE	One click subscribe link to another account
TAGS_ONE_CLICK_SUBSCRIBE_LINK	Subscribe to
HTML_EDIT_DISABLE	Click here to <B>DISABLE</B> online HTML editor
HTML_EDIT_ENABLE	Click here to <B>ENABLE</B> online HTML editor
HTML_EDITOR_ENABLED	Your online HTML editor is <B>enabled</B>. Please save your message and reload edit message page to update the content.<br>
HTML_EDITOR_DISABLED	Your online HTML editor is <B>disabled</B>. Please save your message and reload edit message page to update the content.<br>
TEST_SEND_LINK	Test&nbsp;send
PLEASE_CHOICE_FOFMAT	Select email format
TYPE_MESS	Format	Format
MESS_ACTIVE	Active
MESS_INACTIVE	Inactive
TEST_SEND_HEADER	Email test send
TEST_SEND_BUTTON	Send email
TEST_SEND_FORMAT	Email format
TEST_SEND_RCPT	Recipient address
MESSAGE_WAS_SENT	Thank you!<BR>Your message was sent to 
CLOSE_WINDOW	Close window
ENABLE_HTML_CHOISE	Add selection box to select the email format
ENABLE_HTML_CHOISE_DISCR	Check this option to add a selection box to the HTML form to select the email format (Text or HTML).
HTML_FORM_MESSFORMAT	Message format
DATE_FORMAT_SETTINGS	Date format settings
DATE_FORMAT_LINE	Your <i>strftime</i> format line
DATE_FORMAT_DISCR	Set the format for <B>[DATE]</B> tags in your messages.<BR>The default format is:  <B>%m/%d/%Y</B> <BR><a href="http://se.php.net/manual/sv/function.strftime.php" target="_blank">More info about the format...</a>
CURRENT_FORMATTED_DATE	Current date format
USR_BROWSER_HEAD_FORMAT	Format
USR_BROWSER_DEFAULT_FORMAT	Default
USR_BROWSER_HTML_USER_FORMAT	HTML
USR_BROWSER_TEXT_USER_FORMAT	Text
PERSONAL_REG_DATE	will print subscriber registration date
PERSONAL_SUBSCRIBER_ID	Subscriber ID
PERSONAL_SUBSCRIBER_ID_DISCR	Subscriber ID (Primary key can be used to integrate FUMP with other applications)
PERSONAL_MODIFY_CONTACT_INFO	Link to script where subscriber can modify name, email address and message format
PERSONAL_SUBSCRIBER_UUI	Subscriber UUI
PERSONAL_SUBSCRIBER_UUI_DISCR	Subscriber UUI (Unique User Identifier can be used to integrate FUMP with others applications)
PERSONAL_REG_DATE_CORRECTED	will print the corrected subscriber registration date.
ADD_UNSUBSCRIBE_LINK	Automatically add an unsubscribe link to the email footer
RSSMESS_DISCR	Tip: Use a short, one paragraph, message as RSS-feed text. The RSS-feed will redirect your prospect to the message online.
DUBLICATES	Duplicate message checking
USE_MES_LOG_NEW	Do not send duplicate messages to subscribers:
THANK_YOU_PAGE_SETTINGS	Thank you page settings:
OR	Or
GENARATE_PERSONALIZED_PAGE	Generate personalized page from template
DOI_PAGE_SETTINGS	Subscribers double opt-in confirmation settings:
UNSUBSCRIBE_PAGE_SETTINGS	Unsubscribe settings
NOTIFICATION_HEADER	Admin notification settings
INTEGRATION_TOOLS	Integration tools
SQL_INTEGRATION	Prospect SQL query
SQL_INTEGRATION_DESCR	This SQL query will return all information about prospects in the account.
PERL_INTEGRATION	Perl integration
PERL_INTEGRATION_DESCR	This Perl code will help you emulate posting to the account registration code.
#End Version 4.21
#########################	
#file account_shabl.dat	
##########################
ACCOUNT_BIG	Account
TOTAL_PROSPECTS	Total prospects:
ACTIVE	Active
INACTIVE	Inactive:
HTML_CODE_FORM	HTML form code:
FORM_PREVIEW	Form preview (you can use it to test subscribing):
CUSTOM_FIELD	Custom field
CUSTOM_FIELD_NAME	Custom field name:
ONLY_CHARS	3...20 chars [A-Za-z0-9_] only
IS_REQUIRED	Is required?
FIELD_FORMAT	Field format:
ADD_FIELD	Add field
CANCEL	Cancel
ACC_SETTINGS	Account Settings
PERSONAL	Personal:
FROM_NAME	From name:
FROM_EMAIL	From email:
DEF_SUBSCRIB_NAME	Default subscriber (recipient) name:
REPLY_HEADER	Reply-to header:
SUBSCRIB_OPTS	Subscribing options
REDIR_SUSCR_TO	Redirect subscribers to:
REDIR_REMOV_TO	Redirect removals to:
NOTIFY_ME_SUSCR	Notify when someone subscribes:
NOTIFY_ME_UNSUB	Notify when someone unsubscribed:
ACC_ADMIN_NAME	Account administrator name:
ACC_ADMIN_MAIL	Account administrator email:
USE_DOI	Use double opt-in:
DOICONFURL	Double opt-in confirmation page:
LOGGING	Logging
USE_MES_LOG	Use message logging (check for duplicate emails):
