Spanish - ISO-8859-1
#First line must have format:
#LANGNAME<TAB>ENCODING
###################################################
#Created by Konstantin Ursaloff and Andrey Stepanuk
#Follow Up Mailing List Processor PRO 4.20.03
#Lang file version: 1.1
#Last modified 24/10/2005
#Traduccion al español por Santos Jaimes
#Spanish translation by Santos Jaimes
#Contactar Santos Jaimes via Sellwide about this translation
#Contact Santos Jaimes via Sellwide sobre esta traduccion
###################################################
#########################	
#file account_shabl.dat	
##########################
#Version 4.21
LINK_CLEAN	clean
HTML_EDIT_DISABLE	Click here to <B>DISABLE</B> online HTML editor
HTML_EDIT_ENABLE	Click here to <B>ENABLE</B> online HTML editor
HTML_EDITOR_ENABLED	Your online HTML editor is <B>enabled</B>. Please save your message and reload edit message page to update the content.<br>
HTML_EDITOR_DISABLED	Your online HTML editor is <B>disabled</B>. Please save your message and reload edit message page to update the content.<br>
TEST_SEND_LINK	Test&nbsp;send
PLEASE_CHOICE_FOFMAT	Select message format
TYPE_MESS	Format	Format
MESS_ACTIVE	Active
MESS_INACTIVE	Inactive
TEST_SEND_HEADER	Test send your message
TEST_SEND_BUTTON	Send your message
TEST_SEND_FORMAT	Message format
TEST_SEND_RCPT	Recipient address
MESSAGE_WAS_SENT	Thank you!<BR>Your message was sent to 
CLOSE_WINDOW	Close this window
ENABLE_HTML_CHOISE	Add selection box to select the message format
ENABLE_HTML_CHOISE_DISCR	Check this option to add a selection box to the HTML form to select the message format (Text or HTML)
HTML_FORM_MESSFORMAT	Message format
DATE_FORMAT_SETTINGS	Date format settings
DATE_FORMAT_LINE	Your <i>strftime</i> format line
DATE_FORMAT_DISCR	Set the format for <B>[DATE]</B> tags in your messages.<BR>The default format is:  <B>%m/%d/%Y</B> <BR><a href="http://se.php.net/manual/sv/function.strftime.php" target="_blank">More info about the format...</a>
CURRENT_FORMATTED_DATE	Current formatted date
USR_BROWSER_HEAD_FORMAT	Format
USR_BROWSER_DEFAULT_FORMAT	Default
USR_BROWSER_HTML_USER_FORMAT	HTML
USR_BROWSER_TEXT_USER_FORMAT	Text
PERSONAL_REG_DATE	will print subscriber registration date
PERSONAL_SUBSCRIBER_ID	Subscriber ID
PERSONAL_SUBSCRIBER_ID_DISCR	Subscriber ID (Primary key can be used to integrate FUMP with other applications)
PERSONAL_MODIFY_CONTACT_INFO	Link to script where subscriber can modify name, email address and message format
PERSONAL_SUBSCRIBER_UUI	Subscriber UUI
PERSONAL_SUBSCRIBER_UUI_DISCR	Subscriber UUI (Unique User Identifier can be used to integrate FUMP with others applications)
PERSONAL_REG_DATE_CORRECTED	will print the corrected subscriber registration date.
ADD_UNSUBSCRIBE_LINK	Automatically add an unsubscribe link to the email footer
RSSMESS_DISCR	Hint: Use a short, one paragraph, message as RSS-feed text. The RSS-feed will redirect your prospect to the message online.
DUBLICATES	Duplicate message checking
USE_MES_LOG_NEW	Do not send duplicate messages to subscribers:
THANK_YOU_PAGE_SETTINGS	Thank you page settings:
OR	Or
GENARATE_PERSONALIZED_PAGE	Generate personalized page from template
DOI_PAGE_SETTINGS	Subscribers double opt-in confirmation settings:
UNSUBSCRIBE_PAGE_SETTINGS	Unsubscribing settings
NOTIFICATION_HEADER	Admin notification settings
#End Version 4.21
ACCOUNT_BIG	CUENTAS
TOTAL_PROSPECTS	Numero de Prospectos:
ACTIVE	Active
INACTIVE	Inactivo:
HTML_CODE_FORM	Codigo HTML para tu form abajo:
FORM_PREVIEW	Vista previa del form:
CUSTOM_FIELD	Celda opcional
CUSTOM_FIELD_NAME	Nombre de Celda Opcional:
ONLY_CHARS	3..20 letras [A-Za-z0-9_] solamente
IS_REQUIRED	Es requerido?
FIELD_FORMAT	Formato de Celda
ADD_FIELD	Agregar campo
CANCEL	Cancelar
ACC_SETTINGS	Opciones de Cuenta
PERSONAL	Personal:
FROM_NAME	De Nombre:
FROM_EMAIL	Para Email:
DEF_SUBSCRIB_NAME	Suscriptor predeterminado (Destinatario) nombre:
REPLY_HEADER	Encabezado de Contestación:
SUBSCRIB_OPTS	Opciones para Subscriptor:
REDIR_SUSCR_TO	Redirigir Suscriptores a:
REDIR_REMOV_TO	Redirigir Retirados a:
NOTIFY_ME_SUSCR	Notificarme cuando alguien se suscribe?
NOTIFY_ME_UNSUB	Notificarme cuando alguien se retira?
ACC_ADMIN_NAME	Nombre del administrador de cuenta:
ACC_ADMIN_MAIL	Correo del administrador de cuenta:
USE_DOI	Usar doble opt-in?
DOICONFURL	Pagina de confirmación de doble opt-in:
LOGGING	Logging:
USE_MES_LOG	Usar log de mensajes (verificar correos duplicados)
LOCALIZ	Localizacion:
NO_UPPERCASE	No usar mayúsculas en las primeras letras de los nombres:
DEF_CHARSET	Caracter predeterminado:
SAV_ALL_SET	Guardar Cambios
POP_SET	POP3 Settings
IS_POP	Permitir suscripción enviando un mensaje en blanco:
SUBSCR_EMAIL	Correo para suscribirse:
POP_SERVER2	Servidor POP3:
POP_USER2	Usuario POP3:
POP_PASS	Contraseña POP3:
POP_PORT	Puerto del servidor POP3:
BAN_MAILS	Bloquear emails
BAN_LIST	Bloquear lista (1 regla por línea):
CUST_ERR_MSG	Mensaje de error preferido:
SORTFILTER	Ordenar o Filtrar por:
SORTFILTER_SEARCH	Buscar:
SORTFILTER_ORDER	Ordenar:
USE_DATE_RANGE	Usar rangos de fecha:
REC_PER_PAGE	Cantidad de contactos por pagina:
REC_PER_PAGE_SHOW	Mostrar:
REC_PER_PAGE_RECORDS	Contactos:
SF_DISPLAY	Mostrar!!!
SF_SAVETEXT	Salvar como texto...
SF_REMOVE	Borrar
SF_INV_STATUS	Invertir Estatus
SF_SEL_ALL	Seleccionar Todo
SF_DESEL_ALL	No seleccionar
PROSPECT	Prospecto
PROSPECTS2	Prospectos
PROSP_NAME	Nombre:
PROSP_MAIL	Correo:
PROSP_BEGIN_DAY	Empezar con el día:
PROSP_NO_SEQ	Sin secuencia
PROSP_ADD_BEGIN_DAY	Agregar prospectos a la secuencia empezando con el dia
PROSP_UPD_USER	Actualizar usuario
BULK_REM	Borrar varios
PROSP_REM_DB	Borrados de base de datos
PROSP_REMOVE	Borrar Prospectos
PROSP_IMPORT	Importar Prospectos
INSERT_TEXT	Insertar Archivo:
OR_UPLOAD_FILE	o subir archivo:
SEND_SUBSC_ALL_PROSP	Enviar mensaje alerta de suscripción a todos los prospectos importados.
ADD_NO_SEQ	Agregar nuevos contactos al mailing list solamente (sin agregarlos a la secuecia del mensaje)
ADD_SEQ	Agregar nuevos contactos a la secuencia empezando por el día:
COPY_PROSPS_FROM_ACC	Copiar contactos de otra cuenta:
ACCOUNT	Cuenta:
FILTER	Filtro:
IMPORT	Importar
PROSP_EXPORT_READY	Contactos listos para exportar.
FORMAT	Format:
EXPORT_TO	Exportar a:
EXPORT	Export
SUB_UNSUB_MSG	Suscribir / Remover mensaje
EDIT_DOI_CONF_MSG	Editar mensaje de doble confirmación
SEND_SUBSC_MSG	Enviar mensaje de suscripción
SEND_UNSUB_MSG	Enviar mensaje de remover
EDIT	Editar
PREVIEW	Vista Preliminar
UPD_SETTINGS	Actualizar configuración
ADD_NEW_MSG	Agregar nuevo mensaje>>>
SEQ_MSGS	Mensajes secuenciales:
SEQ_MSG_SUBJECT	Asunto de mensaje
ATTACH	Adjuntar
SENT	Enviado
DAY	Dia
MANUAL_SHED_MSGS	Manualmente/Mensajes programados:
SHED_DATE	Fecha programada
IN_PROGRESS	En progreso
BROADCAST	TRANSMITIR
TERM_PROC	Terminar proceso
TST_SND_STR1	Prueba de envío de mensaje seleccionado
TST_SND_STR2	al siguiente correo:
BTN_TEST_SEND	Enviar prueba
SUBJECT	Asunto:
TYPE	Tipo:
CHARSET	Caracter:
PRIORITY	Prioridad:
MSG	Mensaje:
ADD_ATTACH	Adjuntar archivo:
SEL_MSG_TYPE	Seleccionar el tipo de mensaje:
DAYS_AFTER_REG	Días luego de registrado:
SAVE	Guardar
#########################	
#file accounts.dat	
#########################	
LOGOUT	SALIR
FEEDBACK_FORM	Formato de Feedback
GLOBAL_SETTS	Configuración Global
GLOBAL_LENG	Idiomas
STATS	Estadísticas
XML_IMP	XML&nbsp;IMPORTAR
XML_EXP	XML&nbsp;EXPORTAR
BOUNC_MAILS	Mensajes Rebotados
MANUAL	Manual de uso
ADD_NEW_ACC	Cuenta Nueva:
CLONE	Clonear:
BTN_NEW_ACC	Cuenta Nueva
#########################	
#file author.dat	
#########################	
AUTHOR_LINE1	Para entrar al panel del control del admin,
AUTHOR_LINE2	deberá ingresar la contraseña correcta
PASSWORD	Contraseña:
ENTER	ENTRAR
#########################	
#file bounce.dat	
#########################	
HANDLING_TOOL	Herramienta para mensajes rebotados.
POP_ACCS	Cuentao POP3
BOUNC_MSGS	Mensajes rebotados
BLACKLIST	Lista negra
YOUR_POP_ACCS	Tus cuentas POP3
NO_POP_ACCS_FOUND	No se encontró cuentas POP3
TOTAL_ACCS	Total de cuentas:
POP_SERVER	POP3 Servidor
POP_USER	POP3 Usuario
REM_PROSPS_AFTER	Remover suscriptor después de:
BOUNC_HARD	rebotes duros
BOUNC_SOFT	rebotes suaves
DEL_BOUNC_MSGS	Borrar mensajes rebotados
TEST_CONN	Probar conexión
STATUS	Estatus
TEST	Prueba
WITH_SEL	Con seleccionado:
DELETE	Borrar
ACTIVATE	Activar
DEACTIV	Desactivar
TOTALS	Totales
NO_MSGS_FOUND	No se encontró mensajes
TOTAL_DATES	Fechas total:
DATE	Fecha
TOTAL	Total
TOTAL_HARD	Total duros
HARD	Duros
PROSPS_REMOVED	Suscriptor removido
PROSPS_INACT	Suscriptor desactivado
PROSP_NOT_FOUND	Suscriptor no encontrado
SOFT	Suaves
TOTAL_SOFT	Total suaves
WAITING	Esperando
POP_SERV_SETTS	Configuración de conexión de POP3:
DEL_BNC_ML_SERV	Borrar mensajes rebotados del servidor
DEF_COUNT_BOUNC	Definir conteo de rebotes de correos antes de tomar accion: 
REM_AFTER_HARD	Remover suscriptores después de rebotes duros:
REM_AFTER_SOFT	Remover suscriptores después de rebotes suaves:
ACT_WITH_BOUNC	Acciones con mensajes rebotados:
ACT_WITH_PROSP	Acciones con suscriptores:
ADD_BNC_MAILS_BLACKL	agregar correos rebotados a la lista negra
SAV_ACC	Guardar cuenta
RESET	Resetear
EMAIL	Correo:
BOUNC_CODE	Código de Rebotado:
HARD_SOFT	Duro/suave:
PROC_STAT	Estatus de proceso:
BOUNC_REASON	razon de rebote:
ORDER_BY	Ordenar por:
SHOW_EMAILS_EXIST_PROS	Mostrarme mensajes con suscriptores existentes en las cuentas
DISPLAY	Mostrar
NO_COL_BNC_MSGS_FOUND	No se encontró colección de mensajes rebotados
EXP_MAIL_TXT	Exportar correos a mensaje de texto
TOTAL_MSGS	Número de mensajes:
BOUNC_MAIL	Correo rebotado
PROSPS	Suscriptores
INACT	Inactivo
RECVD	Recibido
PROC_STAT2	Estatus de proceso
BNC_STATUS	Estatus de rebote
BNC_REASON	Razón de rebote
CODE	Codigo
HARD_SOFT2	Duro/Suave
BTN_DEL_MSGS	Borrar mensajes
BTN_REM_PROSP	Remover suscriptores
BTN_ACT_PROSP	Activar suscriptores
BTN_INACT_PROSP	Desactivar suscriptores
RFC_ERR_DESCR	RFC1893 error code description 
CODE2	Code:
BACK_2_BNC_MSGS	Regresar a mensajes rebotados
REG_SETTS	Configuracion de registro:
REJECT_SUBSCR	Rechazar suscripción de correos en lista negra
REG_ERR_MSG	Mensaje de error de suscripción:
SAV_SETTS	Guardar configuración
BNC_MAIL_BLACK	Lista negra de mensajes rebotados.
IMP_MAILS	Importar correos 
EXP_MAILS	Exportar correos
NO_MAIL_FOUND	No se encontró correos
TOTAL_EMAILS	Total correos:
IMP_PROSPS	Importar suscriptores
IMP_PROSPS_DESC	Aquí puedes importar correos a la lista negra. Por favor pega los correos en el campo de abajo (un correo por línea). Los correos serán validados antes de importarlos.
BTN_IMPORT	Importar
BULK_REM_DESC1	Puedes remover correos de la lista negra pegando los correos en el campo de abajo y presionando "Remover"
BULK_REM_DESC2	Un correo por línea. También puedes usar una mascara. For ejemplo si escribes "hotmail" se removerán los correos que contengan
BULK_REM_DESC3	hotmail en cualquier parte del correo.
BULK_REM_DESC4	ejemplo. hotmail@aol.com, mike@hotmail.com, myhotmail@email.com - serán removidos de la lista
BTN_REMOVE	Remover
#########################	
#file daylystat.dat	
#########################	
BRODC_STARTED	Transmisión fue empezado
TIMES_THIS_DAY	veces hoy
REPORT_GEN	Este reporte fue generado
#########################	
#file exportxml.dat	
#########################	
STEP1	Step 1 
STEP1_DESC1	Seleccionar una cuenta, Archivo XML y nivel en el XML en el que los datos seran guardados
STEP1_DESC2	(Archivo XML estará en el directorio de FUMP)
XML_DOC	XML document:
WHERE_STORE_XML_DOC	Donde guardar documento XML?
ENCODING	Codificación:
CREATE_XSD	Crear XSD con tablas para MS ACCESS 2002™:
NEXT2	NEXT[2]&gt;&gt;
XSD_DESC1	Archivo XSD.
XSD_DESC2	Si crea esquema de archivo XSD, entonces podrá importar la tabla facilmene a MS ACCESS 2002™. Tendrá el mismo nombre del archivo 
XSD_DESC3	que defina, como emails.xml - emails.xsd
STEP2_SEL_FLDS	Step 2 - Seleccionar campos
STEP2_SEL_FLDS_DESC	Por favor seleccione los campos de donde y a donde quiere importar los datos.
NEXT3	NEXT[3]&gt;&gt;
STEP4_FINISH	Step 4 - FINAL:
XML_EXP_SUC	EXPORTACION XML EXCITOSA!
#########################	
#file importxml.dat	
#########################	
IMP_ST1_DESC1	Seleccione una cuenta, documento XML y nivel en el documento XML en el cual los datos sobre usuarios están almacenados.
IMP_ST1_DESC2	(Documento XML debe estar en el directorio de FUMP)
LEVEL_DATA_STORED	Nivel en el que datos de usuarios fue almacenado:
HERE_IS_SAMPLE	Aquí el ejemplo del documento XML, el cual puede exportar de MS ACCESS 2002™
STEP2_SEL_FLDS_DESC_IMP	Por favor seleccione los campos de donde y a donde quiere importar los datos.
STEP3	Step 3 - Esta intentando importar:
BTN_IMPXML	IMPORTAR&gt;&gt;
XML_IMP_SUC	IMPORTACION EXCITOSA!
PROSPS_WERE_ADD	suscriptores fueron agregados a base de datos.
#########################	
#file links.dat	
#########################	
YOUR_LINKS	Sus enlaces
ADD_NEW_LINK	Agregar nuevo enlace&gt;&gt;&gt;
NO_LINKS_FOUND	Enlace no encontrado
TOTAL_LINKS	Total de enlaces:
TEMPLATE	Plantilla
NAMEE	Nombre
CLICKS	Clicks
PROSPECTS	Suscriptores
ISCLEAN	Limpiar?
DEL_SELECTED	Eliminar selección
TOTALU	Total:
LINKS_DESC1	Aquí puede editar los enlaces para agregar tags especiales en sus mensajes para rastrear la actividad de los suscriptores y analizar la eficacia de sus mensajes. 
LINKS_DESC2	En los mensajes solo necesita agregar un tag especial así: [LINK123] 
EDIT_LINK	Editar enlace
INS_NEW_LINK	Insertar nuevo enlace
LINK_PROPS	Propiedades de enlace
UPD_LINK	Actualizar enlace
SAV_LINK	Guardar nuevo enlace
BTN_CANCEL	Cancelar
SHOW_REC_FOR	Mostrar datos por: 
BTN_SHOW	Mostrar
DATE2	Fecha:
LINK	Enlace:
MESSAGE	Mensaje:
NO_PROSPS_FOUND	No se encontró suscriptores
NO_CLICKS_FOUND	No se encontró clicks
ACT_UNIQ_PROSPS	Suscriptores activos:
CLICKS_FOUND	Clicks encontrados:
CL_NAME	Nombre
CL_MAIL	Correo
CL_PROF	Perfil
TOTAL_CLICKS_U	Total de clicks:
#########################	
#file links.dat	
#########################	
REGISTRATION_ERROR	ERROR AL REGISTRARCE
REGISTER	Registrarse
#########################	
#file settings_shabl.dat	
#########################	
YOUR_PERS_INFO	Su información personal
YOUR_NAME	Su nombre:
YOUR_EMAIL	Su correo:
YOUR_PERS_INFO_DESCR	Estas configuraciones globales son predeterminadas en todas las cuentas. También puede administrar cada cuenta individualmente.
SEND_ME_BROAD_STAT	Enviarme Transmisor
SEND_ME_BROAD_STAT2	Estadísticas por correo:
BTN_UPD_SETTS	Actualizar configuración
MAIL_PROG_SETTS	Configuración de correo
SENDMAIL_PATH	Sendmail path:
SEND_THROUGH	Enviar a través:
SMTP_SERVER	Servidor SMTP:
SMTP_AUTH	Autenticacion SMTP
SMTP_REQ_SASL	Servidor SMTP requiere autenticación SASL (Simple Authentication and Security Layer RFC2554)
SMTP_USER	Usuario SMTP:
SMTP_PASS	Password SMTP:
SEND_SPD	Velocidad de envio:
QUANT_PROCS	Cantidad de procesos concurrentes:
OR_B	o
USE_OLD_ALG	usar antiguo (procesar cada uno) algoritmo de envió (si tiene algún problema cuando envía mensajes con 'sender' script)
BOUNC_RET_PATH_OPTS	Opciones path de rebote:
USE_FOLLOW_UP	Utilizar siguiente correo SMTP para enviar
1ST_WAY	1ra manera:
1ST_WAY2	Utilizar sendmail -f alertar con siguiente dirección:
2ND_WAY	2da manera: Encabezado de mensaje Return-Path:
2ND_WAY2	Puede quedar en blanco si no desea agregar encabezado.
2ND_WAY3	No es buena idea agregar los encabezados de los mensajes manualmente, pero a veces funciona con Qmail.
3RD_WAY	3rd way: Errors-To mensaje encabezado:
3RD_WAY2	Puede quedar en blanco si no desea agregar encabezado 
ADMIN_AREA_PASS	Contraseña para entrar a área de admin
ADMIN_AREA_PASS_OLD	Contraseña antigua:
ADMIN_AREA_PASS_NEW	Contraseña nueva:
ADMIN_AREA_PASS_RET	Otra vez contraseña nueva:
USE_PERIOD	Usar punto:
USE_PERIOD_TO	para
USE_PERIOD_BTN_SHOW	Mostrar
ENABLE_LOG	Activar logging
BTN_OK	OK
BTN_CLENUP_LOGS_IN_RANGE	Limpiar logs en rango de fechas
BTN_CLEANUP_ALL_LOGS	Limpiar todos los logs
BROAD_LOG_TOTAL	Log total de transmisor
RECORDS	records.
CURRENT_OR_PREV_BR_LOG	Actual o previo log de transmisor
ROWS_FOUND	Líneas encontradas
SAVE_LOG_INTO	Guardar logs en
SAVE_LOG_INTO_FILE	Archivo
BTN_SAVE_SETTS	Guardar configuración
TIME_SYNCH	Sincronizar hora
TIME_SYNCH_SRV_TIME	Hora en servidor:
TIME_SYNCH_CORR_TIME	Hora corregida:
TIME_SYNCH_COR_TIME	Corrección de hora:
TIME_SYNCH_HHMM	+hh:mm or -hh:mm
SETTS_REMOVE	Remover
SETTS_NAME	Nombre
SETTS_RESTORE	Restaurar
SETTS_DATE	Fecha
SETTS_SIZE	Tamaño
BTN_REM_SEL	Remover seleccionado
BTN_RESTORE	Restaurar
NEW_BACKUP	Nuevo backup
NEW_BACKUP_NAME	Nombre nuevo backup:
NEW_BACKUP_NAME_CHARS	[a-z_0-9]caracteres solamente
BTN_BACKUP	Backup
MAIL_PROG_PERF_TEST	Prueba de performance de programa de correo
MAIL_PROG_PERF_TEST_DESC1	Esta prueba le dirá cuanto tiempo le tomara a su servidor enviar mensajes. 
MAIL_PROG_PERF_TEST_DESC2	Ingrese su correo abajo y luego presione click
MAIL_PROG_PERF_TEST_DESC3	Prueba
MAIL_PROG_PERF_TEST_DESC4	Botón
MAIL_PROG_PERF_TEST_DESC5	una sola vez
MAIL_PROG_PERF_TEST_DESC6	FollowUp Mailing List Processor (FUMP) a la direccion que ingreso. Se tomara el tiempo del proceso.
MAIL_PROG_PERF_TEST_DESC7	Esta prueba usara 
ENTER_YOUR_EMAIL_ADDRESS	Ingrese su correo electrónico
BLAST_SIZE	Blast size (30-300 mensajes)
MAIL_PROG_PERF_TEST_BTN_TEST	Prueba
MAIL_PROG_PERF_TEST_RESULTS	Resultados de prueba de performance del programa de correo
MAIL_PROG_PERF_TEST_RESULTS1	mensaje fue enviado a
MAIL_PROG_PERF_TEST_RESULTS2	El proceso a tomado
MAIL_PROG_PERF_TEST_RESULTS3	segundos
MAIL_PROG_PERF_TEST_RESULTS4	Su
MAIL_PROG_PERF_TEST_RESULTS5	performance mostrado abajo: 
MAIL_PROG_PERF_TEST_RESULTS6	mensajes por minuto
MAIL_PROG_PERF_TEST_RESULTS7	mensajes por hora
#########################	
#file responder.cgi	
#########################	
ACCOUNTMENU_MAIN	Menu de Cuenta
ACCOUNTMENU_OPTIONS	Opciones de Cuenta
ACCOUNTMENU_OPTIONS_DESCR	Aquí puede editar las configuraciones importantes para este mailing list especifico incluyendo activación de POP3 y suscribir/remover. Puede utilizar su "De" nombre y correo electrónico, re-direccionar URL para suscriptores y removidos, notificaciones de admin y especificar doble confirmación de suscripción. 
ACCOUNTMENU_HTML_FORM	Formato HTML
ACCOUNTMENU_HTML_FORM_DESCR	Aquí puede generar y visualizar el HTML para el formato de suscripción que será colocado en sus paginas web. También puede agregar o borrar campos para datos extras como teléfono, fax, dirección, etc.
ACCOUNTMENU_SUBSCR_MAN	Administrador de suscriptor
ACCOUNTMENU_SUBSCR_MAN_DESCR	Aquí puede agregar, editar hacer backup a la lista de suscriptores, o copiar una lista de otra cuenta.
ACCOUNTMENU_EDIT_MESS	Editar mensajes
ACCOUNTMENU_EDIT_MESS_DESCR	Aqui puede agregar y editar sus transmisiones personales y mensajes secuenciales, incluyendo confirmaciones de suscribir y remover automáticos y adjuntar archivos. Desde aquí activa la salida de transmisiones.
ACCOUNTMENU_LINKS	Enlaces
ACCOUNTMENU_LINK	Enlace
ACCOUNTMENU_LINKS_DESCR		Aquí puede agregar y editar los enlaces para estadísticas de rastreo de sus envíos
ACCOUNTMENU_LINKS_MESS_STAT	Estadísticas de mensajes
ACCOUNTMENU_LINKS_ACT_PROSP	Suscriptores activos
ACCOUNTMENU_LINKS_CLICKS	Clicks
SETTINGSMENU_MAIN	Principal
SETTINGSMENU_PERSONAL	Personal
SETTINGSMENU_PERSONAL_DESCR	Aquí puede configurar el usuario y correo donde recbira los reportes y notificaciones cuando se suscribe o remueve.
SETTINGSMENU_SENDING_OPTIONS	Opciones de envío
SETTINGSMENU_SENDING_OPTIONS_DESCR	Configuración de método de envío. Aquí necesita seleccionar y configurar el programa de envío del servidor o la dilección de su servidor SMTP y puede utilizar encabezados como <i>Return-Path</i> o <i>Erorrs-To</i> para definir los buzones para mensajes rebotados.
SETTINGSMENU_ACCESS	Entrar
SETTINGSMENU_ACCESS_DESCR	Aquí puede modificar la contraseña del admin.
SETTINGSMENU_TIME_SYNC	Sincronizar hora.
SETTINGSMENU_TIME_SYNC_DESCR	Aquí puede sincronizar la hora de su servidor con su hora local.  Útil para mensajes programados y envíos con horarios precisos.
SETTINGSMENU_PERFOM	Performance
SETTINGSMENU_PERFOM_DESCR	Esto es una prueba para verificar el performance al activar el transmisor.
SETTINGSMENU_BACUP_RESTORE	Backup/Restaurar
SETTINGSMENU_BACUP_RESTORE_DESCR	Aquí puede hacer backup y restaurar su base de datos.
STATMENU_MAIN	Principal
STATMENU_ACT_LOGS	Logs de actividad
STATMENU_ACT_LOGS_DESCR	Aquí puede ver los logs del transmisor y de suscribir/remover especificando un rango de fecha.  Muestra los records y el momento en el que el programa ejecuto sus comandos.
STATMENU_CURRENT_BROADCAST	Log Actual del transmisor
STATMENU_CURRENT_BROADCAST_DESCR	Aquí puede encontrar información sobre el progreso del transmisor actual.
STATMENU_TOTALS	Totales
STATMENU_TOTALS_DESCR	Aquí podrá ver cuantos suscriptores/removidos y mensajes fueron enviados en sus cuentas.
STATMENU_TOTALS_SENT_MESS	Enviar mensajes
STATMENU_TOTALS_SUBSCRIBERS	Suscriptores
STATMENU_TOTALS_PROSPECTS	Prospectos
PROSPMENU_ADD_PROSP	Agregar nuevo prospecto
