French	iso-8859-1
TAGS_TEMPLATES	Templates
TAGS_LINKTRACK	Statistiques du nombres des cliques sur le lien 
TAGS_ONE_CLICK_SUBSCRIBE	Lien pour s’abonner à un autre compte en un seul clique 
TAGS_ONE_CLICK_SUBSCRIBE_LINK	S’abonner à
HTML_EDIT_DISABLE	Cliquer ici pour <B>DESACTIVER</B> un éditeur HTML en ligne 
HTML_EDIT_ENABLE	Cliquer ici pour <B>ACTIVER</B> un éditeur HTML en ligne 
HTML_EDITOR_ENABLED	Votre éditeur HTML en ligne est <B>activé</B>. SVP, enregistrez votre message et rafraîchissez la page d’édition du message afin de mettre le contenu à jour.<br>
HTML_EDITOR_DISABLED	Votre éditeur HTML en ligne est <B>désactivé</B>. SVP, enregistrez votre message et rafraîchissez la page d’édition du message afin de mettre le contenu à jour..<br>
TEST_SEND_LINK	Test a été envoyé
PLEASE_CHOICE_FOFMAT	Sélectionnez le format du message 
TYPE_MESS	Format	Format
MESS_ACTIVE	Activé
MESS_INACTIVE	Desactivé
TEST_SEND_HEADER	Envoi du test de votre message 
TEST_SEND_BUTTON	Envoyez votre message 
TEST_SEND_FORMAT	le format du message 
TEST_SEND_RCPT	Email du recepteur 
MESSAGE_WAS_SENT	Merci!<BR>Votre message a été envoyé à 
CLOSE_WINDOW	Fermer cette fenêtre
ENABLE_HTML_CHOISE	Ajouter la case de sélection pour choisir le format du message 
ENABLE_HTML_CHOISE_DISCR	Cochez cette option pour ajouter une case de sélection du format des message au formulaire d’abonnement  (Text or HTML)
HTML_FORM_MESSFORMAT	Format du Message 
DATE_FORMAT_SETTINGS	Configurez le format de la date
DATE_FORMAT_LINE	Votre <i>strftime</i> ligne du format 
DATE_FORMAT_DISCR	Configurer le format pour <B>[DATE]</B> tags dans vos messages.<BR>Le format par défaut est:  <B>%m/%d/%Y</B> <BR><a href="http://se.php.net/manual/sv/function.strftime.php" target="_blank">Plus d’ info sur ce format...</a>
CURRENT_FORMATTED_DATE	Date du format en cours 
USR_BROWSER_HEAD_FORMAT	Format
USR_BROWSER_DEFAULT_FORMAT	Défaut
USR_BROWSER_HTML_USER_FORMAT	HTML
USR_BROWSER_TEXT_USER_FORMAT	Text
PERSONAL_REG_DATE	va imprimer la date de l’enregistrement de l’abonné 
PERSONAL_SUBSCRIBER_ID	ID de l’abonné
PERSONAL_SUBSCRIBER_ID_DISCR	ID de l’abonné(Primary key can be used to integrate FUMP with other applications)
PERSONAL_MODIFY_CONTACT_INFO	Lien vers le script où l’abonné peut modifier son nom, son email et le format préféré des messages 
PERSONAL_SUBSCRIBER_UUI	Abonné UUI
PERSONAL_SUBSCRIBER_UUI_DISCR	Abonné UUI (Identification Unique de l’Utilisateur peut être utilisé pour intégrer FUMP aux autres applications)
PERSONAL_REG_DATE_CORRECTED	va imprimer la date correcte de l’enregistrement de l’abonné.
ADD_UNSUBSCRIBE_LINK	Ajouter automatiquement un lien de désabonnement en bas de page d’email 
RSSMESS_DISCR	Astuce: Utilisez comme RSS-feed texte un message court, en un paragraphe. Rss-feed va redirigez votre prospect vers le message en ligne. 
DUBLICATES	Dupliquer la vérification du message 
USE_MES_LOG_NEW	Ne pas envoyer les messages dupliquer aux abonnés:
THANK_YOU_PAGE_SETTINGS	Configuration du page des remerciements:
OR	Où
GENARATE_PERSONALIZED_PAGE	Générer la page personnalisée du template 
DOI_PAGE_SETTINGS	Configuration de la confirmation du double opt-in:
UNSUBSCRIBE_PAGE_SETTINGS	Configuration du désabonnement 
NOTIFICATION_HEADER	Configuration de la notification d’Admin 
#End Version 4.21
#########################	
#file account_shabl.dat	
##########################
ACCOUNT_BIG	Compte
TOTAL_PROSPECTS	Total des abonnés:
ACTIVE	Active
INACTIVE	Inactive:
HTML_CODE_FORM	HTML code du formulaire:
FORM_PREVIEW	Aperçu du formulaire:
CUSTOM_FIELD	Champs personnalisés 
CUSTOM_FIELD_NAME	Nom du champ personnalisé:
ONLY_CHARS	3...20 caractères [A-Za-z0-9_] seulement
IS_REQUIRED	Est requis?
FIELD_FORMAT	Format du champ:
ADD_FIELD	Ajouter le champ 
CANCEL	Annuler 
ACC_SETTINGS	Configuration du compte 
PERSONAL	Personnel:
FROM_NAME	De (nom):
FROM_EMAIL	De (email):
DEF_SUBSCRIB_NAME	Nom de l’abonné (recepteur) par défaut:
REPLY_HEADER	Répondre à header:
SUBSCRIB_OPTS	Options d’abonnement 
REDIR_SUSCR_TO	Redirigez les abonnés à:
REDIR_REMOV_TO	Redirigez après le désabonnement à:
NOTIFY_ME_SUSCR	Notifiez quand quelqu’un s’abonne:
NOTIFY_ME_UNSUB	Notifiez quand quelqu’un se désabonne:
ACC_ADMIN_NAME	Nom du compte d’administrateur:
ACC_ADMIN_MAIL	Email du compte d’administrateur:
USE_DOI	Utilisez double opt-in:
DOICONFURL	Double opt-in, la page de confirmation:
LOGGING	Connexion
USE_MES_LOG	Utiliser le message de connexion (vérifier la duplication des emails):
LOCALIZ	Localisation:
NO_UPPERCASE	Ne pas mettre en majuscule la première lettre du nom des abonnés:
DEF_CHARSET	Configuration des caractères par défaut:
SAV_ALL_SET	Enregistrer toute la configuration 
POP_SET	Configuration du POP3 
IS_POP	Autoriser l’abonnement en envoyant un email vide:
SUBSCR_EMAIL	Email d’abonnement:
POP_SERVER2	POP3 Serveur:
POP_USER2	POP3 Nom d’utilisateur:
POP_PASS	POP3 Mot de passe:
POP_PORT	POP3 Port du Serveur:
BAN_MAILS	Ban emails
BAN_LIST	Ban liste (1 par ligne):
CUST_ERR_MSG	Message d’erreur personnalisé:
SORTFILTER	Trier ou filtrer par:
SORTFILTER_SEARCH	Rechercher:
SORTFILTER_ORDER	Commande:
USE_DATE_RANGE	Utiliser la date:
REC_PER_PAGE	Enregistrement par page:
REC_PER_PAGE_SHOW	Show:
REC_PER_PAGE_RECORDS	enregistrements
SF_DISPLAY	Afficher!
SF_SAVETEXT	Enregistrer comme texte...
SF_REMOVE	Supprimer
SF_INV_STATUS	Inverser le statut 
SF_SEL_ALL	Tout sélectionner 
SF_DESEL_ALL	Tout désélectionner 
PROSPECT	Abonné
PROSPECTS2	abonnés
PROSP_NAME	Nom:
PROSP_MAIL	Email:
PROSP_BEGIN_DAY	Commencer par le jour:
PROSP_NO_SEQ	Sans les messages consécutifs 
PROSP_ADD_BEGIN_DAY	Ajouter les prospects dans la liste des messages consécutifs, en commençant par le jour 
PROSP_UPD_USER	Mettre à jour l’utilisateur 
BULK_REM	Suppression en masse
PROSP_REM_DB	supprimé de la base de données 
PROSP_REMOVE	Supprimer les prospects 
PROSP_IMPORT	Importer les Prospects
INSERT_TEXT	Insérer texte:
OR_UPLOAD_FILE	ou télécharger le fichier:
SEND_SUBSC_ALL_PROSP	Envoyer le message de confirmation de l’abonnement à tous les prospects importés.
ADD_NO_SEQ	Ajouter seulement les nouveaux contacts au mailing liste 
ADD_SEQ	Ajouter les prospects dans la liste des messages consécutifs, en commençant par le jour 
COPY_PROSPS_FROM_ACC	Copier les prospects des comptes 
ACCOUNT	Compte:
FILTER	Filtre:
IMPORT	Importer
PROSP_EXPORT_READY	prospects prêts à être exportés.
FORMAT	Format:
EXPORT_TO	Exporter à:
EXPORT	Exporter
SUB_UNSUB_MSG	Messages S’abonner / Se désabonner 
EDIT_DOI_CONF_MSG	Envoyer le message de confirmation de double opt-in 
SEND_SUBSC_MSG	Envoyer le message de confirmation d’abonnement 
SEND_UNSUB_MSG	Envoyer le message de confirmation de désabonnement 
EDIT	Editer
PREVIEW	Aperçu
UPD_SETTINGS	Mettre à jour la configuration 
ADD_NEW_MSG	Add new message > Ajouter le nouveau message
SEQ_MSGS	Messages consécutifs:
SEQ_MSG_SUBJECT	Objet du message
ATTACH	Pièce jointe
SENT	Envoyé
DAY	Jour
MANUAL_SHED_MSGS	Manuel/Messages consécutifs:
SHED_DATE	Date de l’envoi programmé
IN_PROGRESS	En cours
BROADCAST	Lancer le mailing
TERM_PROC	Stopper le processus
TST_SND_STR1	Envoyer en tant que test les messages sélectionnés 
TST_SND_STR2	à email suivant:
BTN_TEST_SEND	Envoyer le Test 
SUBJECT	Objet:
TYPE	Type:
CHARSET	Charset:
PRIORITY	Priorité:
MSG	Message:
ADD_ATTACH	Ajouter les pièces jointes:
SEL_MSG_TYPE	Sélectionner le type de ce message:
DAYS_AFTER_REG	Envoyer après (jours):
SAVE	Enregistrer
#########################	
#file accounts.dat	
#########################	
LOGOUT	DECONNEXION
FEEDBACK_FORM	News/Support
GLOBAL_SETTS	Configuration générale 
GLOBAL_LENG	Langues
STATS	Statistiques 
XML_IMP	XML&nbsp;Importer
XML_EXP	XML&nbsp;Exporter
BOUNC_MAILS	Emails retournés
MANUAL	Manuel en ligne
ADD_NEW_ACC	Ajouter le nouveau compte
CLONE	Clone:
BTN_NEW_ACC	Créer le compte
#########################	
#file author.dat	
#########################	
AUTHOR_LINE1	Pour accéder au panneau du contrôle,
AUTHOR_LINE2	vous devez entrer le mot de passe correct.
PASSWORD	Mot de passe:
ENTER	ENTRER
#########################	
#file bounce.dat	
#########################	
HANDLING_TOOL	Gestion des emails retournés 
POP_ACCS	Comptes POP3 
BOUNC_MSGS	Messages retournés
BLACKLIST	Blackliste
YOUR_POP_ACCS	Vos comptes POP3 
NO_POP_ACCS_FOUND	Aucun compte POP3 n’a été trouvé
TOTAL_ACCS	Total des comptes:
POP_SERVER	POP3 Serveur:
POP_USER	POP3 Utilisateur:
REM_PROSPS_AFTER	Supprimer les abonnés après:
BOUNC_HARD	hard retour 
BOUNC_SOFT	soft&nbsp;hard
DEL_BOUNC_MSGS	Supprimer les messages retournés 
TEST_CONN	la connexion du test
STATUS	Statut
TEST	Test
WITH_SEL	Avec sélectionné:
DELETE	Supprimer
ACTIVATE	Activer
DEACTIV	Désactiver
TOTALS	Total
NO_MSGS_FOUND	Aucun message n’a été trouvé
TOTAL_DATES	Toutes les dates:
DATE	Date
TOTAL	Total
TOTAL_HARD	Total hard
HARD	Hard
PROSPS_REMOVED	Prospects supprimés
PROSPS_INACT	Prospects désactivés
PROSP_NOT_FOUND	Prospect n’a pas été trouvé
SOFT	Soft
TOTAL_SOFT	Total soft
WAITING	Attente 
POP_SERV_SETTS	Configuration  de la connexion du serveur POP3 
DEL_BNC_ML_SERV	Supprimer les emails retournés du serveur POP3 
DEF_COUNT_BOUNC	Définir le nombre des emails retournés avant de la suppression 
REM_AFTER_HARD	Supprimer les prospects après hard retours:
REM_AFTER_SOFT	Supprimer les prospects après soft retours:
ACT_WITH_BOUNC	Actions concernant les prospects dont les emails ont été retournés:
ACT_WITH_PROSP	Action concernant les prospects
ADD_BNC_MAILS_BLACKL	Ajouter les emails à la base de données de la blackliste 
SAV_ACC	Enregistrer le compte
RESET	Annuler
EMAIL	Email:
BOUNC_CODE	Code du retour:
HARD_SOFT	Hard/soft:
PROC_STAT	Etat du processus:
BOUNC_REASON	Raison du retour:
ORDER_BY	Classer par:
SHOW_EMAILS_EXIST_PROS	Monter les emails des prospects existants
DISPLAY	Afficher
NO_COL_BNC_MSGS_FOUND	Aucun message retourné n’a été trouvé 
EXP_MAIL_TXT	Exporter les emails comme le fichier texte
TOTAL_MSGS	Total des messages:
BOUNC_MAIL	Email retourné
PROSPS	Prospects
INACT	Inactive
RECVD	Reçu
PROC_STAT2	Etat du processus 
BNC_STATUS	Etat du retour
BNC_REASON	Raison du retour 
CODE	Code
HARD_SOFT2	Hard/Soft
BTN_DEL_MSGS	Messages supprimés
BTN_REM_PROSP	Retirer le prospect
BTN_ACT_PROSP	Activer le prospect
BTN_INACT_PROSP	Désactiver le prospect
RFC_ERR_DESCR	RFC1893 erreur du code de la description 
CODE2	Code:
BACK_2_BNC_MSGS	Retour vers les messages retournés, non envoyés 
REG_SETTS	Configuration de l’enregistrement 
REJECT_SUBSCR	Rejeter l’abonnement des emails de la blackliste 
REG_ERR_MSG	Message d’erreur d’enregistrement:
SAV_SETTS	Enregistrer la configuration 
BNC_MAIL_BLACK	Emails retournés de la blackliste
IMP_MAILS	Importer les emails 
EXP_MAILS	Exporter les emails 
NO_MAIL_FOUND	Aucun email n’a été trouvé 
TOTAL_EMAILS	Total des emails:
IMP_PROSPS	Importer les emails 
IMP_PROSPS_DESC	Pour importer les emails vers la blackliste, coller les emails dans l’espace texte ci-dessous (un email par ligne). Avant l’importation, chaque email sera validé  si leur orthographe est correcte. 
BTN_IMPORT	Importer
BULK_REM_DESC1	Pour retirer les emails de la blackliste, collez les emails dans l’espace texte ci-dessous (un email par ligne) et cliquez sur « Retirer ». 
BULK_REM_DESC2	Entrez un email par ligne. Vous pouvez utiliser également un masque. Par exemple, si vous tapez « hotmail » dans l’espace du texte, cela va retirer tous les emails, contenant le mot hotmail. 
BULK_REM_DESC3	
BULK_REM_DESC4	Par exemple "hotmail@aol.com", "mike@hotmail.com", "myhotmail@email.com" seront retirés de la liste.
BTN_REMOVE	Retirer
#########################	
#file daylystat.dat	
#########################	
BRODC_STARTED	Mailing a été commencé 
TIMES_THIS_DAY	fois aujourd’hui.
REPORT_GEN	Ce rapport a été généré 
#########################	
#file exportxml.dat	
#########################	
STEP1	Etape 1 
STEP1_DESC1	Sélectionnez un fichier XML du compte et le niveau dans ce fichier XML où vous voulez stocker les données 
STEP1_DESC2	(Le fichier XML sera enregistré dans le répertoire actuel du FUMP)
XML_DOC	Document XML:
WHERE_STORE_XML_DOC	L’emplacement où les documents XML seront enregistrés:
ENCODING	Encoder:
CREATE_XSD	Créer le fichier XSD avec le tableau schème pour Access 2002™:
NEXT2	NEXT[2]&gt;&gt;
XSD_DESC1	Fichier XSD.
XSD_DESC2	Si vous créez un fichier schéma XSD, par la suite, vous pourrez l’importer facilement dans le tableau du Microsoft Access 2002™. Le tableau aura le même nom que le nom du fichier.
XSD_DESC3	Exemples: emails.xml ou emails.xsd.
STEP2_SEL_FLDS	Etape 2 – Champs sélectionnés 
STEP2_SEL_FLDS_DESC	SVP sélectionnez les champs où vous voulez importer les données.
NEXT3	NEXT[3]&gt;&gt;
STEP4_FINISH	Etape 4 – Fin
XML_EXP_SUC	XML Exportation a été réussie ! 
#########################	
#file importxml.dat	
#########################	
IMP_ST1_DESC1	Sélectionner un compte, un fichier XML et le niveau où le fichier XML sera stocké 
IMP_ST1_DESC2	(Le fichier XML doit être dans votre répertoire FUMP).
LEVEL_DATA_STORED	Niveau où les données d’utilisateurs seront stockées:
HERE_IS_SAMPLE	Voici un exemple du fichier XML que vous pouvez importer dans Microsoft Access 2002™
STEP2_SEL_FLDS_DESC_IMP	SVP sélectionnez les champs que vous voulez utiliser pour importer les données.
STEP3	Step 3 – Vous cherchez à importer:
BTN_IMPXML	Importer&gt;&gt;
XML_IMP_SUC	XML Importation a été réussie!
PROSPS_WERE_ADD	prospects a été ajoutés à la base de données.
#########################	
#file links.dat	
#########################	
YOUR_LINKS	Vos liens
ADD_NEW_LINK	Ajouter le nouveau lien >
NO_LINKS_FOUND	Aucun lien n’a été trouvé 
TOTAL_LINKS	Total des liens:
TEMPLATE	Template
NAMEE	Nom
CLICKS	Cliques
PROSPECTS	Prospects
ISCLEAN	Purger
DEL_SELECTED	Supprimer sélectionnés
TOTALU	Total:
LINKS_DESC1	Ici vous pouvez éditer les liens, ajouter les tags spécifiques dans vos messages pour pouvoir analyser l’activité des utilisateurs et voir l’efficacité de vos mailings. 
LINKS_DESC2	Dans vos messages, vous avez juste besoin de placer un tag spécial comme [LINK123] au lieu de mettre le lien direct.
EDIT_LINK	Editer le lien
INS_NEW_LINK	Insérer le nouveau lien
LINK_PROPS	Propriétés des liens 
UPD_LINK	Mettre à jour le lien 
SAV_LINK	Enregistrer le nouveau lien 
BTN_CANCEL	Annuler
SHOW_REC_FOR	Montrer l’enregistrement pour: 
BTN_SHOW	Afficher
DATE2	Date:
LINK	Lien:
MESSAGE	Message:
NO_PROSPS_FOUND	Aucun prospect n’a été trouvé
NO_CLICKS_FOUND	Aucune clique 
ACT_UNIQ_PROSPS	Uniques cliques par prospects:
CLICKS_FOUND	Cliques trouvées:
CL_NAME	Nom
CL_MAIL	Email
CL_PROF	Profil
TOTAL_CLICKS_U	Total des cliques:
#########################	
#file links.dat	
#########################	
REGISTRATION_ERROR	ERREUR D’ENREGISTREMENT
REGISTER	S’enregister
#########################	
#file settings_shabl.dat	
#########################	
YOUR_PERS_INFO	Votre information personnelle
YOUR_NAME	Votre nom:
YOUR_EMAIL	Votre email:
YOUR_PERS_INFO_DESCR	Cette configuration générale du panneau d’administration peut être utilisé pour tous les comptes par défaut. Vous pouvez également établir individuellement le panneau d’administration pour chaque compte. 
SEND_ME_BROAD_STAT	Envoyez-moi les statistiques sur l’envoi du mailing 
SEND_ME_BROAD_STAT2	par email:
BTN_UPD_SETTS	Mettre à jour la configuration 
MAIL_PROG_SETTS	Mail configuration
SENDMAIL_PATH	Sendmail path:
SEND_THROUGH	Envoyer via:
SMTP_SERVER	SMTP server:
SMTP_AUTH	SMTP authentification
SMTP_REQ_SASL	SMTP serveur nécessite l’authentification SASL (Simple Authentication and Security Layer RFC2554) 
SMTP_USER	SMTP nom d’utilisateur:
SMTP_PASS	SMTP mot de passe:
SEND_SPD	Vitesse d’envoi
QUANT_PROCS	Nombre des processus concurrents:
OR_B	OU
USE_OLD_ALG	Utiliser ancien (processus unique) algorithme de l’envoi (si vous avez n’importe quel problème avec l’envoi des messages par le fichier script « envoyeur »)
BOUNC_RET_PATH_OPTS	Path d’adresse pour les emails retournés, non-envoyés 
USE_FOLLOW_UP	Utiliser un email suivant comme envoyeur SMTP:
1ST_WAY	1ère solution:
1ST_WAY2	Utiliser sendmail -f flag avec adresse suivante:
2ND_WAY	2ème solution: Path-Retour du header de message:
2ND_WAY2	Peut rester vide si vous ne désirez pas d’ajouter ce header.
2ND_WAY3	Astuce: ce n’est pas une bonne idée d’ajouter manuellement ce header à vos messages, mais parfois cela marche avec Qmail.
3RD_WAY	3ème solution: "Erreurs-A" header du message:
3RD_WAY2	Peut rester vide, si vous ne voulez pas ajouter ce header.
ADMIN_AREA_PASS	Mot de passe pour accéder à l’espace admin 
ADMIN_AREA_PASS_OLD	Ancien mot de passe:
ADMIN_AREA_PASS_NEW	Nouveau mot de passe:
ADMIN_AREA_PASS_RET	Retaper le mot de passe:
USE_PERIOD	Utiliser la période:
USE_PERIOD_TO	à
USE_PERIOD_BTN_SHOW	Afficher
ENABLE_LOG	Activer connexion
BTN_OK	OK
BTN_CLENUP_LOGS_IN_RANGE	Purger le fichier logs par date
BTN_CLEANUP_ALL_LOGS	Supprimer tout les logs
BROAD_LOG_TOTAL	Mailing log. Total
RECORDS	enregistrements.
CURRENT_OR_PREV_BR_LOG	Mailing en cours ou précédent:
ROWS_FOUND	lignes trouvés.
SAVE_LOG_INTO	Enregistrer logs à 
SAVE_LOG_INTO_FILE	fichier.
BTN_SAVE_SETTS	Enregistrer la configuration 
TIME_SYNCH	Temps de Synchronisation
TIME_SYNCH_SRV_TIME	Temps du Serveur:
TIME_SYNCH_CORR_TIME	Temps corrigé:
TIME_SYNCH_COR_TIME	Correction du temps:
TIME_SYNCH_HHMM	+hh:mm ou -hh:mm
SETTS_REMOVE	Retirer
SETTS_NAME	Nom
SETTS_RESTORE	Restaurer
SETTS_DATE	Date
SETTS_SIZE	Taille
BTN_REM_SEL	Retirer sélectionnés
BTN_RESTORE	Restaurer
NEW_BACKUP	Nouveau Backup
NEW_BACKUP_NAME	Nom du nouveau backup:
NEW_BACKUP_NAME_CHARS	[a-z_0-9] caractères seulement 
BTN_BACKUP	Backup
MAIL_PROG_PERF_TEST	Test de la performance du Mail programme 
MAIL_PROG_PERF_TEST_DESC1	Ce test vous dira combien du temps faudra à votre serveurs pour envoyer tous les emails. 
MAIL_PROG_PERF_TEST_DESC2	Entrez votre email ci-dessous et cliquez sur 
MAIL_PROG_PERF_TEST_DESC3	Test
MAIL_PROG_PERF_TEST_DESC4	bouton
MAIL_PROG_PERF_TEST_DESC5	une fois seulement
MAIL_PROG_PERF_TEST_DESC6	Follow Up Mailing List Processor enverra les emails à l’email indiqué. Ce processus sera temporisé. 
MAIL_PROG_PERF_TEST_DESC7	Ce test va utiliser 
ENTER_YOUR_EMAIL_ADDRESS	Entrez votre email 
BLAST_SIZE	Blast taille (30-300 messages)
MAIL_PROG_PERF_TEST_BTN_TEST	Test
MAIL_PROG_PERF_TEST_RESULTS	Résultat du test sur la performance du Mail programme 
MAIL_PROG_PERF_TEST_RESULTS1	messages ont été envoyés à
MAIL_PROG_PERF_TEST_RESULTS2	Ce processus a pris 
MAIL_PROG_PERF_TEST_RESULTS3	secondes
MAIL_PROG_PERF_TEST_RESULTS4	Votre
MAIL_PROG_PERF_TEST_RESULTS5	performance affichée ci-dessous: 
MAIL_PROG_PERF_TEST_RESULTS6	messages par minute
MAIL_PROG_PERF_TEST_RESULTS7	messages par heure
#########################	
#file responder.cgi	
#########################	
ACCOUNTMENU_MAIN	Menu du compte
ACCOUNTMENU_OPTIONS	Options du compte
ACCOUNTMENU_OPTIONS_DESCR	Ici vous pouvez éditer la configuration importante pour cette liste de mailing spécifique, y compris l’installation de la fonction POP3 s’abonner/se désabonner. Vous pouvez entrer votre « DE » nom et email, indiquer URL, où vos clients seront rediriger après l’abonnement ou le désabonnement, activer la notification d’admin et spécifier quand utiliser le double opt-in. 
ACCOUNTMENU_HTML_FORM	Formulaire HTML 
ACCOUNTMENU_HTML_FORM_DESCR	Ici vous pouvez générer et afficher le code html pour le formulaire d’abonnement qui sera placé sur votre site. Vous pouvez également ajouter et supprimer les champs supplémentaires, par exemple, téléphone, fax, adresse, etc. 
ACCOUNTMENU_SUBSCR_MAN	Gestion des abonnées 
ACCOUNTMENU_SUBSCR_MAN_DESCR	Ici vous pouvez ajouter, éditer et sauvegarder votre liste des prospects ou copier une liste d’un autre compte. 
ACCOUNTMENU_EDIT_MESS	Editer Messages
ACCOUNTMENU_EDIT_MESS_DESCR	Ici vous pouvez ajouter et éditer votre envoi personnalisé du mailing et des messages consécutifs, y compris les messages automatiques de confirmation d’abonnement ou de désabonnement et les fichiers attachés. Ici vous pouvez lancer tous les envois(mailouts).
ACCOUNTMENU_LINKS	Liens&nbsp;Traqueur
ACCOUNTMENU_LINK	Lien
ACCOUNTMENU_LINKS_DESCR	Ici vous pouvez ajouter et éditer vos liens et voir les statistiques de nombre des cliques sur les liens de votre mailing.
ACCOUNTMENU_LINKS_MESS_STAT	Statistiques
ACCOUNTMENU_LINKS_ACT_PROSP	Activer prospects
ACCOUNTMENU_LINKS_CLICKS	Cliques
SETTINGSMENU_MAIN	Principal
SETTINGSMENU_PERSONAL	Personnel
SETTINGSMENU_PERSONAL_DESCR	Entrer votre nom d’utilisateur et votre email pour recevoir les rapports de mailings et les notifications quand quelqu’un s’abonne ou se désabonne.
SETTINGSMENU_SENDING_OPTIONS	Options d’envoi
